dataset,subdataset,sentence,flag,Bert,BiGRU,BiLSTM,Distilbert,GRU,LSTM,RNN,Roberta,Smallbert,Status,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
SemEval_2014,ambience_ambience,"A small, outdoor eating area makes for a private, comfortable space to study alone or meet up with friends.",explicit,True,True,True,True,True,True,True,True,True,Correct,22.0,1.0,4.045454545454546,2.5491045259654457,0.9545454545454546,0.9090909090909091,0.3181818181818182,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.22727272727272727,0.045454545454545456,0.0,1.0,0.36363636363636365,0.045454545454545456,9.830526315789477,0.0,0.0,0.05000000000000001,0.525,0.00495842145755887,0.2647261619567871,0.005668138153851032,0.020107073709368706,0.045872144401073456,0.005349410697817802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Alias is warm and cozy and you don't get that squished-in feeling you get at 71 Clinton.,implicit,True,True,True,True,True,True,True,True,True,Correct,19.0,1.0,3.789473684210526,2.2844773067590216,0.8421052631578947,0.6842105263157895,0.42105263157894735,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.05263157894736842,0.10526315789473684,1.0,0.5714285714285714,0.05263157894736842,6.310588235294119,0.0,0.05263157894736842,0.2,0.675,0.0032925778068602085,0.11435309797525406,0.004042937885969877,0.11105195432901382,0.008431410416960716,0.01695728302001953,0.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"Although somewhat loud, the noise was minimally intrusive.",explicit,True,True,True,True,True,True,True,True,True,Correct,10.0,1.0,5.1,3.014962686336267,1.0,1.0,0.2,0.2,0.1,0.1,0.2,0.2,0.0,1.0,0.3,0.1,9.655000000000001,0.0,0.2,0.0,0.7,0.02568640187382698,0.049714840948581696,0.054613180458545685,0.011919530108571053,0.607232391834259,0.00598832918331027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Cool atmosphere but such a let down.,explicit,True,True,True,True,True,True,True,True,True,Correct,8.0,1.0,3.75,2.6339134382131846,1.0,1.0,0.5,0.125,0.25,0.0,0.0,0.125,0.0,1.0,0.5,0.125,2.3114285714285714,0.0,0.0,0.0648148148148148,0.47962962962962963,0.002833531005308032,0.0070588053204119205,0.002049015136435628,0.9008422493934631,0.022620301693677902,0.004846710246056318,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",explicit,True,True,True,True,True,True,True,True,True,Correct,21.0,1.0,4.238095238095238,2.2867061340081847,0.9523809523809523,0.9047619047619048,0.38095238095238093,0.14285714285714285,0.23809523809523808,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.047619047619047616,1.0,0.5238095238095238,0.047619047619047616,11.096666666666668,0.0,0.09523809523809523,0.15555555555555556,0.8055555555555555,0.003002381883561611,0.12266188114881516,0.0016174239572137594,0.006066993810236454,0.01236106175929308,0.01636398583650589,1.0,1.0,3.0,0.0,0.0,0.0,0.9644659161567688,17.0,0.0,0.0,0.0,1.0,0.9444444444444444,0.0,0.0,0.0,0.05555555555555555
SemEval_2014,ambience_ambience,Intimate but charming interior with extremely friendly and attentive service.,explicit,True,True,True,True,True,True,True,True,True,Correct,11.0,1.0,6.181818181818182,2.7242407388675813,1.0,1.0,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,1.0,0.2727272727272727,0.09090909090909091,14.270000000000007,0.0,0.0,0.41874999999999996,0.75,0.0027923027519136667,0.7245214581489563,0.0032782582566142082,0.007373366970568895,0.02573869563639164,0.007293878588825464,1.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",explicit,True,True,True,True,True,True,True,True,True,Correct,26.0,1.0,4.576923076923077,3.0277317852335615,0.9230769230769231,0.8461538461538461,0.5,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.0,1.0,0.5384615384615384,0.038461538461538464,13.928333333333335,0.0,0.07692307692307693,0.32666666666666666,0.7766666666666667,0.00394856184720993,0.7387043237686157,0.0015149920945987105,0.011843159794807434,0.026062319055199623,0.006844144314527512,1.0,0.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,The Deco and ambiance was really romantic.,explicit,True,True,True,True,True,True,True,True,True,Correct,8.0,1.0,4.5,2.3979157616563596,1.0,1.0,0.375,0.125,0.25,0.125,0.125,0.125,0.0,1.0,0.5,0.125,9.054285714285715,0.0,0.0,0.0,0.5,0.0023769745603203773,0.738018274307251,0.002522919559851289,0.01637936383485794,0.03492198511958122,0.010365794412791729,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"The ambiance was fine, a little loud but still nice and romantic.",explicit,True,True,True,True,True,True,True,True,True,Correct,14.0,1.0,3.857142857142857,2.1992577597629506,1.0,1.0,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.0,1.0,0.42857142857142855,0.07142857142857142,5.806666666666668,0.0,0.0,0.18583333333333335,0.6599999999999999,0.003745737485587597,0.774238646030426,0.0022750776261091232,0.02027788944542408,0.048555951565504074,0.0038589166942983866,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"The ambiance was pretty cool, but not worth the hassle.",explicit,True,True,True,True,True,True,True,True,True,Correct,12.0,1.0,3.8333333333333335,1.9930434571835662,1.0,1.0,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,1.0,0.4166666666666667,0.08333333333333333,4.830000000000002,0.0,0.0,0.15,0.5833333333333334,0.005809057969599962,0.6045657992362976,0.0043820482678711414,0.04520779103040695,0.08601120859384537,0.009764564223587513,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
