dataset,subdataset,sentence,flag,Bert,Distilbert,Roberta,Status,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
SemEval_2014,ambience_ambience,(The sashimi is cut a little thinly.,explicit,True,True,True,Correct,9.0,1.0,3.3333333333333335,2.260776661041756,1.0,1.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,1.0,0.3333333333333333,0.1111111111111111,3.997142857142858,0.0,0.0,-0.29375,0.675,0.028818633407354355,0.035893961787223816,0.011453038081526756,0.03645645081996918,0.07207547873258591,0.06417665630578995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,15% gratuity automatically added to the bill.,explicit,True,True,True,Correct,9.0,1.0,4.333333333333333,3.711842908553348,1.0,1.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.2222222222222222,0.1111111111111111,12.425714285714289,0.0,0.0,0.0,0.0,0.03074539825320244,0.10000287741422653,0.003829772351309657,0.004483099561184645,0.011062713339924812,0.06001714617013931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",explicit,True,True,True,Correct,30.0,1.0,4.0,2.503331114069145,0.9333333333333333,0.8666666666666667,0.4,0.1,0.26666666666666666,0.13333333333333333,0.1,0.13333333333333333,0.06666666666666667,1.0,0.5,0.03333333333333333,11.547407407407409,0.0,0.1,0.45,0.7166666666666667,0.0036943142767995596,0.7006600499153137,0.002031384501606226,0.004820295609533787,0.01369147002696991,0.004721099976450205,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"A small, outdoor eating area makes for a private, comfortable space to study alone or meet up with friends.",explicit,True,True,True,Correct,22.0,1.0,4.045454545454546,2.5491045259654457,0.9545454545454546,0.9090909090909091,0.3181818181818182,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.22727272727272727,0.045454545454545456,0.0,1.0,0.36363636363636365,0.045454545454545456,9.830526315789477,0.0,0.0,0.05000000000000001,0.525,0.00495842145755887,0.2647261619567871,0.005668138153851032,0.020107073709368706,0.045872144401073456,0.005349410697817802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie.",explicit,True,True,True,Correct,22.0,1.0,3.3636363636363638,2.1436047495548354,0.8636363636363636,0.7727272727272727,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.22727272727272727,0.0,0.045454545454545456,0.3181818181818182,1.0,0.5909090909090909,0.045454545454545456,7.550000000000001,0.0,0.22727272727272727,0.0,0.0,0.02159414254128933,0.004146318417042494,0.005724408198148012,0.02950134314596653,0.6705723404884338,0.03814748302102089,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.",implicit,True,True,True,Correct,21.0,1.0,3.619047619047619,2.1925456063278737,0.9047619047619048,0.8095238095238095,0.42857142857142855,0.09523809523809523,0.23809523809523808,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.14285714285714285,1.0,0.5238095238095238,0.047619047619047616,7.967368421052633,0.0,0.047619047619047616,0.43333333333333335,0.4388888888888889,0.0021283223759382963,0.9349805116653442,0.0005827952991239727,0.012536234222352505,0.0006708409637212753,0.029415138065814972,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"After waiting for almost an hour, the waiter brusquely told us he'd forgotten to give the kitchen our order.",explicit,True,True,True,Correct,22.0,1.0,4.090909090909091,2.3337268459988065,0.9545454545454546,0.9090909090909091,0.36363636363636365,0.13636363636363635,0.13636363636363635,0.18181818181818182,0.0,0.09090909090909091,0.13636363636363635,1.0,0.5454545454545454,0.045454545454545456,10.451578947368422,0.0,0.09090909090909091,0.0,0.0,0.11434551328420639,0.023496286943554878,0.004703805316239595,0.007399094756692648,0.7102202773094177,0.011004645377397537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,Alias is warm and cozy and you don't get that squished-in feeling you get at 71 Clinton.,implicit,True,True,True,Correct,19.0,1.0,3.789473684210526,2.2844773067590216,0.8421052631578947,0.6842105263157895,0.42105263157894735,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.05263157894736842,0.10526315789473684,1.0,0.5714285714285714,0.05263157894736842,6.310588235294119,0.0,0.05263157894736842,0.2,0.675,0.0032925778068602085,0.11435309797525406,0.004042937885969877,0.11105195432901382,0.008431410416960716,0.01695728302001953,0.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,All I can say is they are fantastic.,implicit,True,True,True,Correct,9.0,1.0,3.2222222222222223,2.249828525701843,1.0,1.0,0.6666666666666666,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111,0.0,0.2222222222222222,1.0,0.7777777777777778,0.1111111111111111,2.280000000000001,0.0,0.1111111111111111,0.4,0.9,0.0018411600030958652,0.9170142412185669,0.0014309058897197247,0.0023512050975114107,0.0022504946682602167,0.016312893480062485,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"All are GREAT - poori, naan, paratha all FRESH.",explicit,True,True,True,Correct,12.0,1.0,3.25,1.920286436967152,0.9166666666666666,0.8333333333333334,0.25,0.3333333333333333,0.25,0.08333333333333333,0.0,0.08333333333333333,0.0,1.0,0.25,0.08333333333333333,-0.6699999999999982,0.0,0.0,0.55,0.625,0.006689603440463543,0.19269047677516937,0.0015978445298969746,0.005341066978871822,0.010055355727672577,0.01997665874660015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.",explicit,True,True,True,Correct,31.0,1.0,3.870967741935484,2.0437463305106007,0.967741935483871,0.9354838709677419,0.5483870967741935,0.0967741935483871,0.0967741935483871,0.22580645161290322,0.12903225806451613,0.0967741935483871,0.12903225806451613,1.0,0.6451612903225806,0.03225806451612903,10.501428571428573,0.0,0.12903225806451613,0.475,0.65,0.0068018147721886635,0.012957285158336163,0.0008636690909042954,0.003143570851534605,0.016181359067559242,0.07369835674762726,2.0,2.0,1.0,1.0,0.0,0.0,0.9663149118423462,27.0,1.0,0.0,0.0,0.0,0.9642857142857143,0.03571428571428571,0.0,0.0,0.0
