feature,mi_score
punctuation_density,0.053439060139348626
type_token_ratio,0.052432166536828806
surprise,0.04337055620735231
hedge_C_count,0.04261184403363516
sentence_count,0.04030889726825326
sentence_length_variation,0.04025375201728365
hedge_I_count,0.034360829038809104
subordinate_clause_ratio,0.034131253287728924
fear,0.033096385481357515
adv_ratio,0.0264456566448783
noun_ratio,0.025857637912620524
disgust,0.025653422376209045
avg_dependency_depth,0.02233039117446234
I_ratio,0.02127888904287789
punctuation_usage,0.020675045563386396
stopword_ratio,0.02004769258347361
anger,0.019073797070946252
certainty_adjectives_count,0.016992149709579296
verb_ratio,0.01578215491920032
hapax_legomena,0.008690886947103404
N_ratio,0.008336089182979567
word_count,0.006995527081597119
avg_word_length,0.005080824010615714
doubt_adjectives_count,0.004169472840197308
sentiment_subjectivity,0.0015841335968269643
std_word_length,0.0
adj_ratio,0.0
readability_score,0.0
certainty_adverbs_count,0.0
sadness,0.0
joy,0.0
sentiment_polarity,0.0
function_word_ratio,0.0
pronoun_ratio,0.0
doubt_verbs_count,0.0
certainty_verbs_count,0.0
hedge_D_count,0.0
hedges_score,0.0
doubt_adverbs_count,0.0
hedge_E_count,0.0
C_ratio,0.0
hedge_N_count,0.0
E_ratio,0.0
D_ratio,0.0
