Feature,LR Coef,Significant,Effect Size,Impact,Max Misclass Rate,Stance
fear,-0.399,yes,Cliff's delta (small),↓ Correct,"71.4% (NONE: (0.875, 0.995])",NONE
punctuation_usage,-0.258,yes,Cliff's delta (small),↓ Correct,"64.3% (NONE: (0.0536, 0.0971])",NONE
type_token_ratio,-0.232,yes,Cliff's delta (negligible),↓ Correct,"63.0% (NONE: (0.862, 0.938])",NONE
word_count,-0.217,yes,Cliff's delta (small),↓ Correct,"80.0% (NONE: (30.0, 67.0])",NONE
std_word_length,-0.203,yes,Cliff's delta (medium),↓ Correct,"71.4% (NONE: (3.205, 4.216])",NONE
disgust,-0.195,yes,Cliff's delta (small),↓ Correct,"67.9% (NONE: (-0.000872, 0.00046])",NONE
verb_ratio,-0.179,yes,Cliff's delta (medium),↓ Correct,"75.0% (NONE: (0.186, 0.364])",NONE
anger,-0.158,yes,Cliff's delta (negligible),↓ Correct,"63.3% (FAVOR: (0.228, 0.945])",FAVOR
adj_ratio,-0.152,yes,Cliff's delta (small),↓ Correct,"78.6% (NONE: (0.032, 0.0611])",NONE
N_ratio,-0.143,yes,Cliff's delta (negligible),↓ Correct,"50.0% (All Stances: (-0.001, 0.118])",All Stances
noun_ratio,-0.133,yes,Cliff's delta (medium),↓ Correct,"60.7% (NONE: (0.099, 0.27])",NONE
sentence_length_variation,-0.120,yes,Cliff's delta (medium),↓ Correct,"78.6% (NONE: (4.027, 11.5])",NONE
hedges_score,-0.105,yes,Cliff's delta (negligible),↓ Correct,"50.0% (All Stances: (-0.001, 0.975])",All Stances
