feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant,coefficient,abs_coef
avg_word_length,whole,ALL,All Stances,whole,0.0,0.0,0.6902,0.3829,medium,medium,False,Cliff's delta,medium,yes,0.3044651317903575,0.3044651317903575
avg_word_length,whole,ALL,AGAINST,whole,0.0,0.0,0.6902,0.3829,medium,medium,False,Cliff's delta,medium,yes,0.5395985675343852,0.5395985675343852
pronoun_ratio,whole,ALL,FAVOR,whole,0.0016,0.026,0.2867,0.1404,small,negligible,False,Cliff's delta,negligible,yes,0.3148556185782661,0.3148556185782661
sentence_count,whole,ALL,FAVOR,whole,0.0,0.0,-0.8121,-0.3763,large,medium,False,Cliff's delta,medium,yes,0.42991379350589726,0.42991379350589726
punctuation_density,whole,ALL,NONE,whole,0.0043,0.0011,-0.2975,-0.186,small,small,False,Cliff's delta,small,yes,0.34234703284307066,0.34234703284307066
sentiment_polarity,whole,ALL,NONE,whole,0.0133,0.0041,-0.2471,-0.1609,small,small,False,Cliff's delta,small,yes,0.31447632429186334,0.31447632429186334
pronoun_ratio,whole,ALL,NONE,whole,0.0016,0.026,0.2867,0.1404,small,negligible,False,Cliff's delta,negligible,yes,0.4139819474815502,0.4139819474815502
sentiment_polarity,whole,ALL,NONE,whole,0.0001,0.0005,0.3921,0.2188,medium,small,False,Cliff's delta,small,yes,0.31447632429186334,0.31447632429186334
punctuation_density,whole,ALL,NONE,whole,0.0,0.0,0.9159,0.4957,large,large,False,Cliff's delta,large,yes,0.34234703284307066,0.34234703284307066
function_word_ratio,whole,ALL,NONE,whole,0.0,0.0,-0.6491,-0.378,medium,medium,False,Cliff's delta,medium,yes,0.7893572798467454,0.7893572798467454
