feature,shap_importance,iteration,stance,model
punctuation_density,1.3139117173622128,9,AGAINST,Logistic Regression
anger,0.4465898151923223,9,AGAINST,Logistic Regression
hapax_legomena,0.42944556343578516,9,AGAINST,Logistic Regression
fear,0.3954974059135514,9,AGAINST,Logistic Regression
adj_ratio,0.3526202912563786,9,AGAINST,Logistic Regression
sentiment_subjectivity,0.3465186226179227,9,AGAINST,Logistic Regression
hedges_score,0.33549155097189876,9,AGAINST,Logistic Regression
hedge_D_count,0.31373157999684187,9,AGAINST,Logistic Regression
function_word_ratio,0.3043078123605274,9,AGAINST,Logistic Regression
punctuation_usage,0.30167844728831944,9,AGAINST,Logistic Regression
type_token_ratio,0.27726941250918513,9,AGAINST,Logistic Regression
avg_word_length,0.27596611144536237,9,AGAINST,Logistic Regression
subordinate_clause_ratio,0.2398400195893813,9,AGAINST,Logistic Regression
sadness,0.2359939449382138,9,AGAINST,Logistic Regression
D_ratio,0.2353281858209245,9,AGAINST,Logistic Regression
certainty_adjectives_count,0.21402463150067694,9,AGAINST,Logistic Regression
C_ratio,0.20912425401335671,9,AGAINST,Logistic Regression
surprise,0.20205446204761682,9,AGAINST,Logistic Regression
noun_ratio,0.19200033270655167,9,AGAINST,Logistic Regression
certainty_verbs_count,0.1869540039255312,9,AGAINST,Logistic Regression
sentence_count,0.1578891000249657,9,AGAINST,Logistic Regression
E_ratio,0.14379571104068486,9,AGAINST,Logistic Regression
readability_score,0.13930187195849392,9,AGAINST,Logistic Regression
disgust,0.1308973782580439,9,AGAINST,Logistic Regression
verb_ratio,0.13081531136865895,9,AGAINST,Logistic Regression
N_ratio,0.12656504252777076,9,AGAINST,Logistic Regression
word_count,0.11026018519309645,9,AGAINST,Logistic Regression
sentiment_polarity,0.09678286903411955,9,AGAINST,Logistic Regression
hedge_N_count,0.09239135430078715,9,AGAINST,Logistic Regression
std_word_length,0.08462830167345828,9,AGAINST,Logistic Regression
sentence_length_variation,0.07513512034576215,9,AGAINST,Logistic Regression
hedge_C_count,0.06010746399854197,9,AGAINST,Logistic Regression
hedge_I_count,0.04941108373731219,9,AGAINST,Logistic Regression
doubt_verbs_count,0.04371625406361117,9,AGAINST,Logistic Regression
pronoun_ratio,0.04344391537217996,9,AGAINST,Logistic Regression
doubt_adverbs_count,0.03858330108126635,9,AGAINST,Logistic Regression
certainty_adverbs_count,0.024027467111163433,9,AGAINST,Logistic Regression
stopword_ratio,0.022183622204584787,9,AGAINST,Logistic Regression
doubt_adjectives_count,0.019864943876291386,9,AGAINST,Logistic Regression
adv_ratio,0.013095675066404489,9,AGAINST,Logistic Regression
I_ratio,0.012709284810226137,9,AGAINST,Logistic Regression
hedge_E_count,0.0024430828883726563,9,AGAINST,Logistic Regression
joy,0.0010986526007715804,9,AGAINST,Logistic Regression
avg_dependency_depth,0.0,9,AGAINST,Logistic Regression
