target,text,stance,dataset,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,type,label
Legalization of Abortion,"Dear to who it may concern;""YOU stand up for my right to live.   #Baby #murder #RightToLife #unborn #womensrights #legal #SemST",0,semeval,31.0,2.0,3.4516129032258065,2.745538429800414,0.7741935483870968,0.7096774193548387,0.2580645161290322,0.3225806451612903,0.2903225806451613,0.064516129032258,0.064516129032258,0.0,0.064516129032258,1.0,0.2758620689655172,0.032258064516129,6.010000000000002,3.0,0.032258064516129,0.2073593073593073,0.4119047619047618,0.0070051434449851,0.0025874257553368,0.9834393858909608,0.0060198507271707,0.0002285592345288,0.0004984880797564,0.0,1.0,2.0,0.0,0.0,0.0,0.8836539387702942,19.0,0.0,1.0,0.0,0.0,0.95,0.0,0.05,0.0,0.0,test,1
Legalization of Abortion,People don't care about things that don't effect men which is the same reason it's sexist we don't cover birth control  #SemST,0,semeval,27.0,1.0,3.851851851851852,1.671187284841256,0.8518518518518519,0.7777777777777778,0.4074074074074074,0.1851851851851851,0.3333333333333333,0.2592592592592592,0.037037037037037,0.1111111111111111,0.074074074074074,1.0,0.5357142857142857,0.0,8.544545454545453,0.0,0.0,0.0,0.125,0.4127225279808044,0.0065612560138106,0.5632023811340332,0.0095727369189262,0.002943814266473,0.0034201378002762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
healthcare,US eyes block of health insurance deals: Anthem’s $48bn Cigna purchase and Aetna’s $37bn bid for Humana under... https://t.co/H5cgLopYPb,0,wtwt,29.0,1.0,4.068965517241379,3.2793085318534456,0.8620689655172413,0.7241379310344828,0.2068965517241379,0.3793103448275862,0.5172413793103449,0.0689655172413793,0.0344827586206896,0.0,0.0,1.0,0.28,0.1379310344827586,10.7,0.0,0.0,0.0,0.0,0.0421065874397754,0.0178172793239355,0.0773648917675018,0.2471659928560257,0.0026928125880658,0.3338950276374817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
Joe Biden,"#Biden needs to be honest with the American people. Obama is the only president since Herbert Hoover to never reach a 3% GDP. So Creepy Joe, stop trying to take credit for @POTUS booming economy.",0,pstance,42.0,3.0,3.8333333333333335,2.2245027980231216,0.8809523809523809,0.8095238095238095,0.2857142857142857,0.1666666666666666,0.3333333333333333,0.2142857142857142,0.0714285714285714,0.0238095238095238,0.0,1.0,0.3658536585365853,0.0714285714285714,8.851428571428574,2.0548046676563256,0.119047619047619,0.0249999999999999,0.725,0.005723800510168,0.0037619180511683,0.9836887121200562,0.0016450872644782,0.0011771846329793,0.0022809049114584,0.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,1
healthcare,Independent physician organization opposes CVS and Aetna merger https://t.co/ZxeNhtFhVK #DrHIT,0,wtwt,13.0,1.0,6.538461538461538,4.465515468830767,1.0,1.0,0.0769230769230769,0.4615384615384615,0.4615384615384615,0.0769230769230769,0.2307692307692307,0.0,0.0,1.0,0.0909090909090909,0.0769230769230769,19.0,0.0,0.0,0.0,0.125,0.0833036676049232,0.0160539858043193,0.8754711747169495,0.0145392837002873,0.0008633687393739,0.0040603801608085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,"AMA Opposes Anthem-Cigna, Aetna-Humana Mergers via @AmerMedicalAssn  https://t.co/Ln1p8FuTDt",0,wtwt,12.0,1.0,7.0,5.461989869391313,1.0,1.0,0.0,0.75,0.6666666666666666,0.0833333333333333,0.0,0.0,0.0,1.0,0.0714285714285714,0.0833333333333333,21.7,0.0,0.0,0.0,0.0,0.1197563856840133,0.0196257717907428,0.7585548758506775,0.0797558352351188,0.000958694203291,0.0112506793811917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,"Anthem, Cigna merger squabbles could delay antitrust approval: WSJ https://t.co/gzTwnEP8OJ https://t.co/7pApo8kq2h #bitcoin",0,wtwt,19.0,1.0,5.894736842105263,4.60999756641225,0.8421052631578947,0.7368421052631579,0.0,0.6842105263157895,0.4210526315789473,0.0526315789473684,0.2105263157894736,0.0,0.0,1.0,0.0666666666666666,0.1052631578947368,12.7,0.0,0.0,0.0,0.0,0.1595494151115417,0.0379667170345783,0.6333981156349182,0.0918619185686111,0.0008829582948237,0.0471513271331787,0.0,0.0,0.0,1.0,0.0,0.0,0.9595426917076112,11.0,0.0,1.0,0.0,0.0,0.9166666666666666,0.0,0.0833333333333333,0.0,0.0,,1
Joe Biden,All these ridiculously rich politicians asking for money. And there are some people stupid enough to give it to them. If #biden doing so well with donations why does he need money from public.,0,pstance,38.0,3.0,4.184210526315789,2.4479342865910727,0.8947368421052632,0.8157894736842105,0.5,0.1052631578947368,0.131578947368421,0.1578947368421052,0.1052631578947368,0.1052631578947368,0.0789473684210526,1.0,0.5789473684210527,0.0789473684210526,6.877058823529413,2.494438257849294,0.0789473684210526,-0.1062499999999999,0.5791666666666667,0.9315587282180786,0.003289483487606,0.0381911173462867,0.0163053758442401,0.001303911791183,0.007834649644792,0.0,1.0,0.0,2.0,0.0,0.0,0.9684184193611144,33.0,0.0,0.0,0.0,1.0,0.9705882352941176,0.0,0.0,0.0,0.0294117647058823,test,1
healthcare,"📣 Icahn urges Cigna shareholders to vote against Express Scripts deal https://t.co/khTaDT4IWv  

🗞️ First Published… https://t.co/obLqRGcltF",0,wtwt,20.0,1.0,6.1,4.570557952810575,0.9,0.8,0.1,0.5,0.65,0.1,0.05,0.0,0.0,1.0,0.1578947368421052,0.1,7.2,0.0,0.05,0.25,0.3333333333333333,0.1228305175900459,0.0170491244643926,0.7852185964584351,0.0395797602832317,0.006253455299884,0.0071566933766007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
face_masks,Not going to Home Depot anymore they lost my business forever! Lowe’s didn’t make a big deal about the mask.  I guess Lowe’s it is from now on..,0,covid,37.0,3.0,3.135135135135135,1.8623171002110503,0.8918918918918919,0.8108108108108109,0.4594594594594595,0.1081081081081081,0.3513513513513513,0.1621621621621621,0.054054054054054,0.081081081081081,0.1081081081081081,1.0,0.5142857142857142,0.1081081081081081,3.6428571428571423,1.247219128924647,0.054054054054054,0.0,0.1,0.0278779435902833,0.0166660267859697,0.0086099542677402,0.501807689666748,0.0207445789128541,0.2454936951398849,0.0,0.0,0.0,0.0,0.0,1.0,0.880183756351471,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
