feature,shap_importance,iteration,stance,model
fear,0.7690972422187896,8,FAVOR,Logistic Regression
hapax_legomena,0.7358824783163034,8,FAVOR,Logistic Regression
noun_ratio,0.6630819235556736,8,FAVOR,Logistic Regression
word_count,0.5070518342590663,8,FAVOR,Logistic Regression
surprise,0.46108804218330385,8,FAVOR,Logistic Regression
function_word_ratio,0.39890785986969135,8,FAVOR,Logistic Regression
hedges_score,0.39698927511046395,8,FAVOR,Logistic Regression
type_token_ratio,0.38371668997897906,8,FAVOR,Logistic Regression
std_word_length,0.38186550561670307,8,FAVOR,Logistic Regression
adj_ratio,0.3750358781922932,8,FAVOR,Logistic Regression
subordinate_clause_ratio,0.3729619455385337,8,FAVOR,Logistic Regression
punctuation_usage,0.3707085350053518,8,FAVOR,Logistic Regression
verb_ratio,0.35556123632688313,8,FAVOR,Logistic Regression
punctuation_density,0.35490963812567655,8,FAVOR,Logistic Regression
doubt_adverbs_count,0.35032518044160377,8,FAVOR,Logistic Regression
hedge_C_count,0.3056534472162632,8,FAVOR,Logistic Regression
pronoun_ratio,0.3026195051694186,8,FAVOR,Logistic Regression
sentiment_polarity,0.26005858199009985,8,FAVOR,Logistic Regression
sentence_count,0.2366374631930448,8,FAVOR,Logistic Regression
sentence_length_variation,0.18374700909888658,8,FAVOR,Logistic Regression
D_ratio,0.1776349971392642,8,FAVOR,Logistic Regression
hedge_E_count,0.11950661960649049,8,FAVOR,Logistic Regression
certainty_verbs_count,0.11717690385089134,8,FAVOR,Logistic Regression
hedge_D_count,0.11705246407350915,8,FAVOR,Logistic Regression
certainty_adverbs_count,0.11355006749687478,8,FAVOR,Logistic Regression
C_ratio,0.11250594298789288,8,FAVOR,Logistic Regression
E_ratio,0.10413070576219033,8,FAVOR,Logistic Regression
anger,0.0920779962940489,8,FAVOR,Logistic Regression
sentiment_subjectivity,0.09119243851967528,8,FAVOR,Logistic Regression
joy,0.08250318131815895,8,FAVOR,Logistic Regression
certainty_adjectives_count,0.058385865980054984,8,FAVOR,Logistic Regression
avg_word_length,0.04436074072172102,8,FAVOR,Logistic Regression
adv_ratio,0.03269117854961526,8,FAVOR,Logistic Regression
disgust,0.029555985674447508,8,FAVOR,Logistic Regression
sadness,0.02844674613009457,8,FAVOR,Logistic Regression
hedge_N_count,0.021892585445624578,8,FAVOR,Logistic Regression
stopword_ratio,0.018913873100274477,8,FAVOR,Logistic Regression
doubt_adjectives_count,0.01648024622812886,8,FAVOR,Logistic Regression
doubt_verbs_count,0.00904147105595178,8,FAVOR,Logistic Regression
N_ratio,0.006567104374676188,8,FAVOR,Logistic Regression
readability_score,0.005201570595387661,8,FAVOR,Logistic Regression
avg_dependency_depth,0.0,8,FAVOR,Logistic Regression
hedge_I_count,0.0,8,FAVOR,Logistic Regression
I_ratio,0.0,8,FAVOR,Logistic Regression
