feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.13485903074798,0.02079121395945549,0.99 ± 0.0268,0.9902 ± 0.0248
D_ratio,-0.07398332755093294,0.0,0.0012 ± 0.0076,0.0022 ± 0.0107
E_ratio,0.006169487232244817,0.00839187391102314,0.0044 ± 0.0181,0.0042 ± 0.0165
I_ratio,0.12985730089933128,0.0,0.0002 ± 0.0028,0.0003 ± 0.0046
N_ratio,0.2200483130487066,0.004945497028529644,0.0042 ± 0.0181,0.0031 ± 0.0144
adj_ratio,-0.07493063480365444,0.02167210355401039,0.0557 ± 0.0477,0.0584 ± 0.0494
adv_ratio,-0.04764651129914494,0.033641666173934937,0.0285 ± 0.0393,0.0281 ± 0.0397
anger,-0.0031641992552612994,0.0258487556129694,0.1319 ± 0.2211,0.1411 ± 0.2163
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.24507517666705866,0.02681182138621807,4.5263 ± 0.8156,4.7133 ± 0.8786
certainty_adjectives_count*,0.17202432649128616,0.017170565202832222,0.3757 ± 0.7048,0.2309 ± 0.4747
certainty_adverbs_count*,0.07532939962372234,0.05072120949625969,0.1742 ± 0.4578,0.1253 ± 0.3618
certainty_verbs_count*,0.07872229686720063,0.01812148652970791,0.3829 ± 0.7061,0.2916 ± 0.6001
disgust,0.12913279281805057,0.025085002183914185,0.0136 ± 0.0666,0.0106 ± 0.0624
doubt_adjectives_count,0.037771046006097285,0.04070953279733658,0.1325 ± 0.355,0.1214 ± 0.3464
doubt_adverbs_count,-0.16524569540732428,0.02730989083647728,0.2922 ± 0.5938,0.2982 ± 0.5845
doubt_verbs_count,-0.0010571914526849024,0.048835333436727524,0.0218 ± 0.1461,0.0185 ± 0.1347
fear*,-0.14199198084140263,0.030611872673034668,0.3364 ± 0.3596,0.3806 ± 0.3817
function_word_ratio*,0.20634678090323363,0.02511841617524624,0.3088 ± 0.1501,0.2895 ± 0.14
hapax_legomena*,0.5856003488570731,0.02075442112982273,0.804 ± 0.1378,0.8291 ± 0.132
hedge_C_count*,0.7533912212872187,0.028646428138017654,21.2178 ± 10.4905,18.9274 ± 8.7676
hedge_D_count,0.07030202812067962,0.0,0.0327 ± 0.1879,0.0449 ± 0.2071
hedge_E_count,0.23459114900389547,0.0,0.0889 ± 0.3634,0.0765 ± 0.2758
hedge_I_count,-0.18558993376882402,0.0,0.0054 ± 0.0737,0.0092 ± 0.1405
hedge_N_count,-0.11848847393511232,0.0908922404050827,0.1016 ± 0.4228,0.0765 ± 0.3516
hedges_score,-0.28000507909135053,0.020956289023160934,0.1459 ± 0.3392,0.1607 ± 0.3534
joy*,0.19886505390263073,0.026909347623586655,0.1341 ± 0.23,0.0826 ± 0.1674
noun_ratio,-0.06144063192266613,0.02362053282558918,0.406 ± 0.1426,0.4125 ± 0.1474
pronoun_ratio*,0.06943475415407448,0.025012990459799767,0.0366 ± 0.0474,0.0304 ± 0.0435
punctuation_density*,0.014972488346393576,0.01563413068652153,0.3354 ± 0.1762,0.3598 ± 0.1716
punctuation_usage,0.034959595640320223,0.023593369871377945,0.0848 ± 0.0602,0.0832 ± 0.0587
readability_score*,0.04750863976327159,0.023891033604741096,8.9198 ± 4.3307,9.3862 ± 3.96
sadness,0.011666357856697914,0.018247727304697037,0.0909 ± 0.1739,0.0949 ± 0.175
sentence_count*,-0.03904304961912547,0.01154279988259077,2.0127 ± 1.294,1.8496 ± 1.2114
sentence_length_variation*,-0.021887057648198992,0.0249076709151268,2.7496 ± 3.5455,2.3611 ± 3.4104
sentiment_polarity*,0.0437793067606846,0.022173916921019554,0.0813 ± 0.2557,0.0493 ± 0.2259
sentiment_subjectivity,-0.03218524741114049,0.023005446419119835,0.3015 ± 0.3075,0.2818 ± 0.2997
std_word_length*,0.1197567452506669,0.0188473891466856,3.4087 ± 0.9042,3.5614 ± 0.9037
stopword_ratio*,-0.025256520960440152,0.024184824898838997,0.2496 ± 0.1331,0.2327 ± 0.1224
subordinate_clause_ratio,-0.08690072613467532,0.03064284473657608,0.039 ± 0.0463,0.0428 ± 0.0474
surprise,-0.042128183542970675,0.027341559529304504,0.1132 ± 0.1643,0.1124 ± 0.1671
type_token_ratio*,-0.7747114705865433,0.025613311678171158,0.884 ± 0.0918,0.9019 ± 0.0821
verb_ratio*,-0.3908643507930191,0.01961473748087883,0.1082 ± 0.0693,0.1211 ± 0.0706
word_count*,-0.6432817090855039,0.02818072773516178,27.5227 ± 12.3512,25.0026 ± 11.6014
