feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio*,-0.5033148995469808,0.0931149423122406,0.9851 ± 0.0337,0.9913 ± 0.0234
D_ratio,-0.14896839449412658,0.0,0.0022 ± 0.0114,0.0022 ± 0.0115
E_ratio,0.09726326187583882,0.030084986239671707,0.0052 ± 0.0189,0.0049 ± 0.0182
I_ratio,0.5914148150951072,0.0,0.0006 ± 0.0054,0.0002 ± 0.0033
N_ratio*,0.5969337578911742,0.03715277835726738,0.0069 ± 0.0251,0.0014 ± 0.0094
adj_ratio*,0.4177273839708878,0.025551440194249153,0.0619 ± 0.049,0.054 ± 0.0503
adv_ratio*,0.13878244416775531,0.007991339080035686,0.0305 ± 0.0454,0.0202 ± 0.0332
anger*,-0.146226926228609,0.021165966987609863,0.0773 ± 0.1741,0.131 ± 0.2082
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.7743243904214637,0.029342133551836014,4.5884 ± 0.7337,4.9631 ± 0.903
certainty_adjectives_count*,0.3552637043963285,0.05071454495191574,0.3467 ± 0.5876,0.13 ± 0.3548
certainty_adverbs_count*,0.06963761659209268,0.05621902272105217,0.1734 ± 0.4181,0.0898 ± 0.297
certainty_verbs_count,0.20424860036263248,0.013509410433471203,0.2322 ± 0.4909,0.195 ± 0.4619
disgust,0.008007130089812312,0.024106411263346672,0.0084 ± 0.0469,0.0076 ± 0.0531
doubt_adjectives_count,-0.1346079263569817,0.0,0.0991 ± 0.3382,0.1084 ± 0.3211
doubt_adverbs_count*,0.12172291297150731,0.02325715683400631,0.3034 ± 0.5353,0.2136 ± 0.493
doubt_verbs_count,-0.0749778382185125,0.0,0.0217 ± 0.1458,0.0124 ± 0.1108
fear*,-0.38789610157694265,0.05805900692939758,0.1847 ± 0.301,0.3527 ± 0.3803
function_word_ratio*,0.818693917814644,0.040507785975933075,0.3127 ± 0.1342,0.2432 ± 0.1332
hapax_legomena,0.025619112917877832,0.02756686322391033,0.8557 ± 0.1167,0.8478 ± 0.1352
hedge_C_count,-0.3376184658876337,0.017114387825131416,17.2384 ± 4.5289,16.7307 ± 7.3382
hedge_D_count,0.056000485381604764,0.0,0.0402 ± 0.212,0.0433 ± 0.2039
hedge_E_count,-0.30305088003303526,0.0,0.0836 ± 0.2988,0.0805 ± 0.2725
hedge_I_count,-0.5012754599672311,0.0,0.0124 ± 0.1108,0.0093 ± 0.1669
hedge_N_count*,-0.4935106253685546,0.03663443401455879,0.1238 ± 0.4425,0.0372 ± 0.2464
hedges_score,-0.32409885377414893,0.0,0.1912 ± 0.3792,0.1444 ± 0.3387
joy*,0.35012289583594897,0.029027795419096947,0.1469 ± 0.2055,0.0775 ± 0.1376
noun_ratio,0.6644925459064834,0.037376172840595245,0.4383 ± 0.1321,0.4568 ± 0.1498
pronoun_ratio*,0.07058554759404408,0.01468266174197197,0.0302 ± 0.0395,0.0201 ± 0.0371
punctuation_density*,-0.24401126858951264,0.00941452570259571,0.3509 ± 0.1636,0.4071 ± 0.1681
punctuation_usage,0.18466220340383308,0.01940007321536541,0.0822 ± 0.069,0.084 ± 0.0569
readability_score*,-0.15609363162545026,0.019572891294956207,8.7529 ± 5.0017,9.938 ± 3.9033
sadness,0.14672594005457684,0.01556957233697176,0.1217 ± 0.2188,0.0984 ± 0.1787
sentence_count,-0.22070425595652568,0.006287295836955309,1.5232 ± 0.8201,1.582 ± 1.1237
sentence_length_variation,-0.039350667693454064,0.01960453949868679,1.4705 ± 2.4946,1.6253 ± 2.9837
sentiment_polarity*,-0.031781221109457095,0.022919772192835808,0.0696 ± 0.2629,0.0299 ± 0.1967
sentiment_subjectivity*,0.2521739654326966,0.0329614095389843,0.3441 ± 0.34,0.2353 ± 0.3094
std_word_length*,0.48178136816458517,0.023353325203061104,3.4894 ± 0.8004,3.777 ± 0.8245
stopword_ratio*,-0.04389406691829206,0.02630036324262619,0.2485 ± 0.1229,0.1937 ± 0.119
subordinate_clause_ratio,-0.09014622264267837,0.01304599829018116,0.0445 ± 0.0555,0.0384 ± 0.047
surprise*,-0.022355099073715273,0.02872953563928604,0.1783 ± 0.1933,0.1193 ± 0.1575
type_token_ratio,-0.10157804013146907,0.017560411244630814,0.9196 ± 0.0708,0.9132 ± 0.0846
verb_ratio,-0.10704294528216511,0.03201025724411011,0.1055 ± 0.0656,0.1131 ± 0.0735
word_count,0.007319818575215394,0.040090832859277725,22.4923 ± 5.2065,22.6161 ± 11.4662
