feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.45206518355718983,0.03458113968372345,0.9883 ± 0.0298,0.9902 ± 0.0248
D_ratio,0.22721744977743974,0.011642682366073132,0.0026 ± 0.0133,0.0022 ± 0.0107
E_ratio,0.01729897174197722,0.016042524948716164,0.0044 ± 0.0179,0.0042 ± 0.0165
I_ratio,0.13196223837067295,0.0,0.0003 ± 0.0041,0.0003 ± 0.0046
N_ratio,0.49968423002666185,0.02703789249062538,0.0043 ± 0.0199,0.0031 ± 0.0144
adj_ratio,0.022117832558946875,0.018011437729001045,0.0563 ± 0.0486,0.0584 ± 0.0494
adv_ratio*,-0.04133257632736134,0.031205851584672928,0.0236 ± 0.0402,0.0281 ± 0.0397
anger*,-0.0858528841842488,0.02684018574655056,0.0894 ± 0.1761,0.1411 ± 0.2163
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length,-0.5474332498391877,0.02583855576813221,4.7439 ± 0.8529,4.7133 ± 0.8786
certainty_adjectives_count,0.33077287601676336,0.04200010746717453,0.265 ± 0.5314,0.2309 ± 0.4747
certainty_adverbs_count,0.10602619268703958,0.033823736011981964,0.1143 ± 0.3459,0.1253 ± 0.3618
certainty_verbs_count*,-0.12830573822398786,0.023528054356575012,0.1833 ± 0.44,0.2916 ± 0.6001
disgust,-0.034882006786614156,0.028131090104579926,0.0063 ± 0.0371,0.0106 ± 0.0624
doubt_adjectives_count,-0.09271167360654707,0.039322856813669205,0.0853 ± 0.3045,0.1214 ± 0.3464
doubt_adverbs_count*,-0.06352647841796519,0.0,0.2196 ± 0.4679,0.2982 ± 0.5845
doubt_verbs_count,-0.03516502479807802,0.0,0.0163 ± 0.1269,0.0185 ± 0.1347
fear*,-0.2769051282459282,0.032524362206459045,0.2311 ± 0.3306,0.3806 ± 0.3817
function_word_ratio*,-0.17298689164621034,0.016053780913352966,0.2675 ± 0.1408,0.2895 ± 0.14
hapax_legomena*,-0.2929362295709205,0.019806789234280586,0.8473 ± 0.1217,0.8291 ± 0.132
hedge_C_count*,0.2507378541025961,0.030208317562937737,16.3067 ± 4.7131,18.9274 ± 8.7676
hedge_D_count,-0.3235686268064942,0.0,0.0417 ± 0.2091,0.0449 ± 0.2071
hedge_E_count,-0.2280432805942501,0.0,0.0672 ± 0.2646,0.0765 ± 0.2758
hedge_I_count,-0.18670363312281624,0.0,0.0073 ± 0.085,0.0092 ± 0.1405
hedge_N_count,-0.7168546292947842,0.0,0.078 ± 0.3507,0.0765 ± 0.3516
hedges_score,-0.03406131647272151,0.026170337572693825,0.1513 ± 0.3461,0.1607 ± 0.3534
joy*,0.23658088432211358,0.04823685809969902,0.1514 ± 0.2052,0.0826 ± 0.1674
noun_ratio*,0.19495139361684063,0.027729248628020287,0.4486 ± 0.1383,0.4125 ± 0.1474
pronoun_ratio,0.16119266038428823,0.02637873776257038,0.0258 ± 0.0423,0.0304 ± 0.0435
punctuation_density*,0.2385383870554698,0.02169138751924038,0.3971 ± 0.1739,0.3598 ± 0.1716
punctuation_usage,-0.03902671016829211,0.021309105679392815,0.084 ± 0.0648,0.0832 ± 0.0587
readability_score,0.032210253868375435,0.024550898000597954,9.3175 ± 4.6991,9.3862 ± 3.96
sadness,0.018470526503905207,0.027678007259964943,0.1131 ± 0.204,0.0949 ± 0.175
sentence_count*,-0.3204254818347516,0.03237511217594147,1.441 ± 0.7383,1.8496 ± 1.2114
sentence_length_variation*,-0.044828267294286,0.025074493139982224,1.3961 ± 2.4791,2.3611 ± 3.4104
sentiment_polarity,-0.06283534547784214,0.02236787974834442,0.0611 ± 0.2353,0.0493 ± 0.2259
sentiment_subjectivity,0.10091484009826958,0.02834058180451393,0.2748 ± 0.3276,0.2818 ± 0.2997
std_word_length,0.1860034639056541,0.02293381839990616,3.6327 ± 0.8584,3.5614 ± 0.9037
stopword_ratio*,0.2541893871129191,0.018891820684075356,0.2134 ± 0.1256,0.2327 ± 0.1224
subordinate_clause_ratio,0.011923355066486667,0.02284720540046692,0.04 ± 0.0521,0.0428 ± 0.0474
surprise*,0.12977062075664053,0.02527804672718048,0.1642 ± 0.1829,0.1124 ± 0.1671
type_token_ratio*,0.2426318265935518,0.025163626298308372,0.9151 ± 0.0741,0.9019 ± 0.0821
verb_ratio*,-0.21100808498552148,0.03478588908910751,0.1017 ± 0.0663,0.1211 ± 0.0706
word_count*,-0.5313518511636904,0.06159763038158417,21.5626 ± 5.4669,25.0026 ± 11.6014
