feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,,0.031890612095594406,0.9896 ± 0.0267,0.9902 ± 0.0248
D_ratio,,0.03233727440237999,0.0021 ± 0.011,0.0022 ± 0.0107
E_ratio,,0.028688961640000343,0.0041 ± 0.0165,0.0042 ± 0.0165
I_ratio,0.32692708999700704,,0.0002 ± 0.0032,0.0003 ± 0.0046
anger,,0.027374112978577614,0.139 ± 0.227,0.1411 ± 0.2163
avg_word_length,-0.2688852770514978,,4.7725 ± 0.9243,4.7133 ± 0.8786
certainty_adverbs_count,,0.084032341837883,0.1253 ± 0.369,0.1253 ± 0.3618
doubt_adjectives_count,,0.08035505563020706,0.1029 ± 0.3168,0.1214 ± 0.3464
hapax_legomena,0.4096707319608778,0.026562398299574852,0.82 ± 0.1405,0.8291 ± 0.132
hedge_C_count*,0.6870969948001496,,17.9578 ± 8.8372,18.9274 ± 8.7676
hedge_I_count,-0.44657764957317553,,0.004 ± 0.0628,0.0092 ± 0.1405
joy*,,0.030511343851685524,0.1209 ± 0.2059,0.0826 ± 0.1674
punctuation_density*,0.30495201489657053,,0.3941 ± 0.1926,0.3598 ± 0.1716
sentiment_polarity,,0.03371453285217285,0.0658 ± 0.2409,0.0493 ± 0.2259
stopword_ratio*,0.20817148688008377,,0.216 ± 0.1316,0.2327 ± 0.1224
type_token_ratio,-0.6079293400205389,,0.8956 ± 0.0899,0.9019 ± 0.0821
verb_ratio*,-0.31123811293758913,0.03549375757575035,0.1014 ± 0.0679,0.1211 ± 0.0706
word_count*,-0.7902770796610612,,23.7968 ± 10.3637,25.0026 ± 11.6014
