Feature,LR Coef,Significant,Effect Size,Impact,Max Misclass Rate
function_word_ratio,-0.866,no,Cliff's delta (negligible),↓ Misclass,"38.3% ((0.301, 0.4])"
punctuation_density,-0.558,no,Cliff's delta (negligible),↓ Misclass,"45.8% ((-0.001, 0.2])"
std_word_length,-0.406,no,Cliff's delta (negligible),↓ Misclass,"39.7% ((1.5990000000000002, 2.77])"
pronoun_ratio,-0.364,no,Cliff's delta (negligible),↓ Misclass,"30.2% ((0.0769, 0.286])"
doubt_adjectives_count,-0.297,no,Cliff's delta (negligible),↓ Misclass,"24.3% ((-0.001, 2.0])"
avg_word_length,-0.242,no,Cliff's delta (negligible),↓ Misclass,"42.1% ((3.901, 4.415])"
certainty_adjectives_count,-0.232,no,Cliff's delta (negligible),↓ Misclass,"24.3% ((-0.001, 2.0])"
hedge_E_count,-0.189,no,Cliff's delta (negligible),↓ Misclass,"24.3% ((-0.001, 2.0])"
sentiment_subjectivity,-0.180,no,Cliff's delta (negligible),↓ Misclass,"25.0% ((-0.001, 0.535])"
sentiment_polarity,-0.169,no,Cliff's delta (negligible),↓ Misclass,"45.5% ((0.0, 0.1])"
adj_ratio,-0.169,no,Cliff's delta (negligible),↓ Misclass,"27.7% ((-0.001, 0.0588])"
D_ratio,-0.139,no,Cliff's delta (negligible),↓ Misclass,"24.3% ((-0.001, 0.1])"
hedge_D_count,-0.136,no,Cliff's delta (negligible),↓ Misclass,"24.3% ((-0.001, 2.0])"
hedge_N_count,-0.107,no,Cliff's delta (negligible),↓ Misclass,"24.3% ((-0.001, 2.0])"
