feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant,coefficient,abs_coef
word_count,whole,ALL,All Stances,whole,0.01,0.0042,0.2504,0.1628,small,small,False,Cliff's delta,small,yes,-0.2169990156213356,0.2169990156213356
type_token_ratio,whole,ALL,All Stances,whole,0.0372,0.0634,-0.2197,-0.1178,small,negligible,False,Cliff's delta,negligible,yes,-0.2321308189044461,0.2321308189044461
word_count,whole,ALL,All Stances,whole,0.0008,0.0018,-0.5949,-0.2779,medium,small,False,Cliff's delta,small,yes,-0.2169990156213356,0.2169990156213356
std_word_length,whole,ALL,All Stances,whole,0.0,0.0,0.8067,0.4201,large,medium,False,Cliff's delta,medium,yes,-0.203216654293699,0.203216654293699
type_token_ratio,whole,ALL,All Stances,whole,0.0012,0.0286,-0.4011,-0.1942,medium,small,False,Cliff's delta,small,yes,-0.2321308189044461,0.2321308189044461
punctuation_usage,whole,ALL,All Stances,whole,0.0411,0.0026,-0.32,-0.2563,medium,small,False,Cliff's delta,small,yes,-0.25797440611460815,0.25797440611460815
fear,whole,ALL,All Stances,whole,0.0016,0.0011,-0.5376,-0.2906,medium,small,False,Cliff's delta,small,yes,-0.39890273277204924,0.39890273277204924
punctuation_density,whole,ALL,AGAINST,whole,0.0043,0.0011,-0.2975,-0.186,small,small,False,Cliff's delta,small,yes,-0.2246943944168548,0.2246943944168548
adj_ratio,whole,ALL,AGAINST,whole,0.0293,0.0166,-0.2471,-0.1517,small,small,False,Cliff's delta,small,yes,-0.35363084574288267,0.35363084574288267
pronoun_ratio,whole,ALL,AGAINST,whole,0.0016,0.026,0.2867,0.1404,small,negligible,False,Cliff's delta,negligible,yes,-0.33512832038249346,0.33512832038249346
std_word_length,whole,ALL,AGAINST,whole,0.0,0.0,0.8067,0.4201,large,medium,False,Cliff's delta,medium,yes,-0.4511392353470605,0.4511392353470605
punctuation_density,whole,ALL,AGAINST,whole,0.0,0.0,0.9159,0.4957,large,large,False,Cliff's delta,large,yes,-0.2246943944168548,0.2246943944168548
noun_ratio,whole,ALL,AGAINST,whole,0.0,0.0001,0.6253,0.3443,medium,medium,False,Cliff's delta,medium,yes,-0.42004631758369493,0.42004631758369493
verb_ratio,whole,ALL,AGAINST,whole,0.0,0.0,-0.8435,-0.4552,large,medium,False,Cliff's delta,medium,yes,-0.28333189894176425,0.28333189894176425
punctuation_density,whole,ALL,FAVOR,whole,0.0043,0.0011,-0.2975,-0.186,small,small,False,Cliff's delta,small,yes,-0.26030284325654673,0.26030284325654673
anger,whole,ALL,FAVOR,whole,0.0002,0.1967,0.2923,0.0734,small,negligible,False,Cliff's delta,negligible,yes,-0.6344720360509954,0.6344720360509954
disgust,whole,ALL,FAVOR,whole,0.0006,0.0002,0.1645,0.2114,small,small,False,Cliff's delta,small,yes,-0.6587492736815942,0.6587492736815942
surprise,whole,ALL,FAVOR,whole,0.0782,0.0014,-0.1763,-0.1816,small,small,False,Cliff's delta,small,yes,-0.25548259934487455,0.25548259934487455
type_token_ratio,whole,ALL,FAVOR,whole,0.0372,0.0634,-0.2197,-0.1178,small,negligible,False,Cliff's delta,negligible,yes,-0.3755675773868813,0.3755675773868813
adv_ratio,whole,ALL,FAVOR,whole,0.0172,0.0058,-0.2616,-0.1717,small,small,False,Cliff's delta,small,yes,-0.25853416744350466,0.25853416744350466
anger,whole,ALL,FAVOR,whole,0.0006,0.0003,-0.4944,-0.2291,medium,small,False,Cliff's delta,small,yes,-0.6344720360509954,0.6344720360509954
disgust,whole,ALL,FAVOR,whole,0.0461,0.0116,-0.4306,-0.1601,medium,small,False,Cliff's delta,small,yes,-0.6587492736815942,0.6587492736815942
surprise,whole,ALL,FAVOR,whole,0.5087,0.0015,-0.0984,0.2015,small,small,False,Cliff's delta,small,yes,-0.25548259934487455,0.25548259934487455
type_token_ratio,whole,ALL,FAVOR,whole,0.0012,0.0286,-0.4011,-0.1942,medium,small,False,Cliff's delta,small,yes,-0.3755675773868813,0.3755675773868813
punctuation_density,whole,ALL,FAVOR,whole,0.0,0.0,0.9159,0.4957,large,large,False,Cliff's delta,large,yes,-0.26030284325654673,0.26030284325654673
adv_ratio,whole,ALL,FAVOR,whole,0.0378,0.0006,-0.2823,-0.2792,small,small,False,Cliff's delta,small,yes,-0.25853416744350466,0.25853416744350466
punctuation_usage,whole,ALL,FAVOR,whole,0.0411,0.0026,-0.32,-0.2563,medium,small,False,Cliff's delta,small,yes,-0.40530974388776636,0.40530974388776636
fear,whole,ALL,FAVOR,whole,0.0016,0.0011,-0.5376,-0.2906,medium,small,False,Cliff's delta,small,yes,-0.565428199259747,0.565428199259747
surprise,whole,ALL,FAVOR,whole,0.626,0.0004,0.083,0.3138,small,small,False,Cliff's delta,small,yes,-0.25548259934487455,0.25548259934487455
N_ratio,whole,ALL,FAVOR,whole,0.1,0.0488,-0.3966,-0.062,medium,negligible,False,Cliff's delta,negligible,yes,-0.4744003824510347,0.4744003824510347
subordinate_clause_ratio,whole,ALL,NONE,whole,0.0209,0.068,0.2046,0.1022,small,negligible,False,Cliff's delta,negligible,yes,-0.394472255781619,0.394472255781619
certainty_verbs_count,whole,ALL,NONE,whole,0.0334,0.0122,0.2069,0.1282,small,negligible,False,Cliff's delta,negligible,yes,-0.3188282028913818,0.3188282028913818
hedge_C_count,whole,ALL,NONE,whole,0.0022,0.0007,0.2987,0.1919,small,small,False,Cliff's delta,small,yes,-0.737968097742456,0.737968097742456
type_token_ratio,whole,ALL,NONE,whole,0.0372,0.0634,-0.2197,-0.1178,small,negligible,False,Cliff's delta,negligible,yes,-0.5315442083181937,0.5315442083181937
certainty_verbs_count,whole,ALL,NONE,whole,0.0499,0.1048,0.194,0.0949,small,negligible,False,Cliff's delta,negligible,yes,-0.3188282028913818,0.3188282028913818
type_token_ratio,whole,ALL,NONE,whole,0.0012,0.0286,-0.4011,-0.1942,medium,small,False,Cliff's delta,small,yes,-0.5315442083181937,0.5315442083181937
stopword_ratio,whole,ALL,NONE,whole,0.0,0.0,-0.8226,-0.4571,large,medium,False,Cliff's delta,medium,yes,-1.2061286052598466,1.2061286052598466
noun_ratio,whole,ALL,NONE,whole,0.0,0.0001,0.6253,0.3443,medium,medium,False,Cliff's delta,medium,yes,-0.5653646303231094,0.5653646303231094
punctuation_usage,whole,ALL,NONE,whole,0.0411,0.0026,-0.32,-0.2563,medium,small,False,Cliff's delta,small,yes,-0.3123541563710378,0.3123541563710378
sentence_length_variation,whole,ALL,NONE,whole,0.0001,0.0,-0.7255,-0.3897,large,medium,False,Cliff's delta,medium,yes,-0.22691795884849597,0.22691795884849597
subordinate_clause_ratio,whole,ALL,NONE,whole,0.0006,0.0001,-0.6507,-0.3126,medium,small,False,Cliff's delta,small,yes,-0.394472255781619,0.394472255781619
fear,whole,ALL,NONE,whole,0.0016,0.0011,-0.5376,-0.2906,medium,small,False,Cliff's delta,small,yes,-0.5519933474208188,0.5519933474208188
certainty_verbs_count,whole,ALL,NONE,whole,0.0,0.0,-0.8531,-0.35,large,medium,False,Cliff's delta,medium,yes,-0.3188282028913818,0.3188282028913818
doubt_adverbs_count,whole,ALL,NONE,whole,0.0062,0.0003,-0.5492,-0.2091,medium,small,False,Cliff's delta,small,yes,-0.619941544704573,0.619941544704573
hedge_C_count,whole,ALL,NONE,whole,0.0,0.0,-0.8465,-0.5395,large,large,False,Cliff's delta,large,yes,-0.737968097742456,0.737968097742456
