dataset,subdataset,sentence,flag,Bert,Distilbert,Roberta,Status
SemEval_2014,ambience_ambience,(The sashimi is cut a little thinly.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,15% gratuity automatically added to the bill.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"A small, outdoor eating area makes for a private, comfortable space to study alone or meet up with friends.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.",implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"After waiting for almost an hour, the waiter brusquely told us he'd forgotten to give the kitchen our order.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Alias is warm and cozy and you don't get that squished-in feeling you get at 71 Clinton.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,All I can say is they are fantastic.,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"All are GREAT - poori, naan, paratha all FRESH.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"All-time favorites include the Big Mac, Chicken McNuggets, Filet-O-Fish sandwich and McDonald's famous french fries; lighter options like entree-sized salads are also available.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Also get the Onion Rings -- best we've ever had.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Also, the chick peas with shrimp (appetizer) is divine.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Although somewhat loud, the noise was minimally intrusive.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"And as SOON as one person is done, she asked to pick up the plate immediately.",implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"And the food, well the food will keep you coming back.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"And these are not small, wimpy fast food type burgers - these are real, full sized patties.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"And, the honey BBQ rib tips are yummy!",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Another friend had to ask 3 times for parmesan cheese.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Another great thing about Glechik-everything is very cheap!,implicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Anywhere else, the prices would be 3x as high!",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Average cake thats been courted by a LOT of hype.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"BEST spicy tuna roll, great asian salad.",explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,Be sure to accompany your food with one of their fresh juice concoctions.,explicit,True,True,True,Correct
SemEval_2014,ambience_ambience,"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",explicit,True,True,True,Correct
