dataset,subdataset,sentence,flag,Bert,Distilbert,Roberta,Status,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
SemEval_2014,ambience_ambience,"I came to fresh expecting a great meal, and all I got was marginally so-so food served in a restaurant that was just so freezing we couldn't enjoy eating.",explicit,True,True,True,Misclassified,32.0,1.0,3.9375,2.511691412176265,0.90625,0.8125,0.4375,0.125,0.09375,0.28125,0.09375,0.125,0.09375,1.0,0.5294117647058824,0.03125,11.995862068965518,0.0,0.125,0.5,0.5833333333333334,0.08244046568870544,0.053610458970069885,0.006233390420675278,0.10893965512514114,0.15216194093227386,0.18467414379119873,0.0,0.0,2.0,2.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,It's always quiet because it's awful.,implicit,True,True,True,Misclassified,9.0,1.0,3.5555555555555554,2.0608041101101566,0.8888888888888888,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,1.0,0.6666666666666666,0.1111111111111111,6.416666666666668,0.0,0.2222222222222222,-0.5,0.6666666666666666,0.010690554045140743,0.0009880622383207083,0.05719633027911186,0.0265736673027277,0.8852149844169617,0.0038022689986974,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,ambience_ambience,"It's no-fuss, fast and delicious.",implicit,True,True,True,Misclassified,8.0,1.0,3.625,2.7357585785299112,1.0,1.0,0.25,0.5,0.0,0.125,0.375,0.0,0.125,1.0,0.4,0.125,5.240000000000002,0.0,0.0,0.6,0.8,0.008548741228878498,0.32929715514183044,0.0017085038125514984,0.004528533201664686,0.016689470037817955,0.011712429113686085,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Actually, everyone who worked there seemed to be annoyed.",implicit,True,True,True,Misclassified,11.0,1.0,4.454545454545454,2.606412943060264,1.0,1.0,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.0,0.18181818181818182,0.0,1.0,0.5454545454545454,0.09090909090909091,7.58666666666667,0.0,0.09090909090909091,-0.2,0.45,0.3941962420940399,0.009815316647291183,0.005833239294588566,0.03268389031291008,0.23605410754680634,0.052839092910289764,1.0,0.0,0.0,0.0,0.0,0.0,0.9648787975311279,8.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,After dinner I heard music playing and discovered that there is a lounge downstairs.,explicit,True,True,True,Misclassified,15.0,1.0,4.733333333333333,2.792052212182923,1.0,1.0,0.4666666666666667,0.06666666666666667,0.3333333333333333,0.2,0.0,0.0,0.06666666666666667,1.0,0.4666666666666667,0.06666666666666667,7.570000000000004,0.0,0.2,0.0,0.0,0.008179305121302605,0.11661805957555771,0.045521415770053864,0.013591030612587929,0.31842729449272156,0.24140988290309906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Although I moved uptown I try to stop in as often as possible for the GREAT cheap food and to pay the friendly staff a visit.,explicit,True,True,True,Misclassified,27.0,1.0,3.7037037037037037,2.087259674608203,0.8518518518518519,0.7037037037037037,0.4444444444444444,0.037037037037037035,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.07407407407407407,1.0,0.5185185185185185,0.037037037037037035,9.52692307692308,0.0,0.18518518518518517,0.39375000000000004,0.7375,0.00518127903342247,0.5477036237716675,0.00569373881444335,0.006533060222864151,0.00707863736897707,0.017981041222810745,0.0,0.0,2.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Ask for the round corner table next to the large window.,explicit,True,True,True,Misclassified,12.0,1.0,3.8333333333333335,1.5184055965240497,0.9166666666666666,0.8333333333333334,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.0,0.25,0.0,0.0,1.0,0.4166666666666667,0.08333333333333333,3.7181818181818187,0.0,0.0,0.0047619047619047545,0.27619047619047615,0.009287409484386444,0.0032662060111761093,0.018620293587446213,0.0032713760156184435,0.00875889416784048,0.06945610046386719,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Been to the one in Brooklyn for over 25 years, now I dont have to go over the bridge for the best pizza ....Hanx",explicit,True,True,True,Misclassified,26.0,1.0,3.423076923076923,1.4980263149346498,0.8076923076923077,0.6538461538461539,0.5384615384615384,0.19230769230769232,0.3076923076923077,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464,1.0,0.6296296296296297,0.15384615384615385,7.536666666666665,0.0,0.07692307692307693,1.0,0.3,0.010433025658130646,0.05563037097454071,0.004026069771498442,0.10134316980838776,0.006880450062453747,0.2806608974933624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Being Puerto Rican I know a thing or two about flan and this place serves one of the best (I hope Mom doesn't read this!).,explicit,True,True,True,Misclassified,30.0,2.0,3.2666666666666666,1.5691469727919758,0.9333333333333333,0.8666666666666667,0.4,0.16666666666666666,0.13333333333333333,0.2,0.1,0.03333333333333333,0.06666666666666667,1.0,0.5,0.06666666666666667,8.32,12.0,0.1,1.0,0.3,0.012244898825883865,0.32270583510398865,0.0010216005612164736,0.005686920136213303,0.008484791032969952,0.05260998755693436,1.0,2.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Best Chinese on the Upper East, prompt delivery, good value.",explicit,True,True,True,Misclassified,13.0,1.0,3.923076923076923,2.2000537917038603,0.9230769230769231,0.8461538461538461,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.0,0.23076923076923078,0.0,0.0,1.0,0.15384615384615385,0.07692307692307693,7.190000000000001,0.0,0.0,0.425,0.22500000000000003,0.010592907667160034,0.10780592262744904,0.001101157278753817,0.0036004844587296247,0.009395932778716087,0.010741605423390865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
