dataset,subdataset,sentence,flag,Bert,BiGRU,BiLSTM,Distilbert,GRU,LSTM,RNN,Roberta,Smallbert,Status,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Been to the one in Brooklyn for over 25 years, now I dont have to go over the bridge for the best pizza ....Hanx",explicit,True,True,True,True,True,True,True,True,True,Misclassified,26.0,1.0,3.423076923076923,1.4980263149346498,0.8076923076923077,0.6538461538461539,0.5384615384615384,0.19230769230769232,0.3076923076923077,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464,1.0,0.6296296296296297,0.15384615384615385,7.536666666666665,0.0,0.07692307692307693,1.0,0.3,0.010433025658130646,0.05563037097454071,0.004026069771498442,0.10134316980838776,0.006880450062453747,0.2806608974933624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Cool atmosphere but such a let down.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,8.0,1.0,3.75,2.6339134382131846,1.0,1.0,0.5,0.125,0.25,0.0,0.0,0.125,0.0,1.0,0.5,0.125,2.3114285714285714,0.0,0.0,0.0648148148148148,0.47962962962962963,0.002833531005308032,0.0070588053204119205,0.002049015136435628,0.9008422493934631,0.022620301693677902,0.004846710246056318,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I also recommend the garlic knots.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,7.0,1.0,4.142857142857143,2.641891715558133,1.0,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,0.42857142857142855,0.14285714285714285,6.416666666666668,0.0,0.0,0.0,0.0,0.005777016282081604,0.04201787710189819,0.004202996846288443,0.006828438490629196,0.038731928914785385,0.005032559856772423,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I recomend the chicken milanese.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,6.0,1.0,4.666666666666667,3.0912061651652345,1.0,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0,0.3333333333333333,0.16666666666666666,5.240000000000002,0.0,0.0,-0.6,0.95,0.0068024215288460255,0.01930963806807995,0.0034905108623206615,0.0041479491628706455,0.030330628156661987,0.006141192279756069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I went for restaurant week and ordered off the prix fixe menu,explicit,True,True,True,True,True,True,True,True,True,Misclassified,12.0,1.0,4.166666666666667,2.1921577396609844,1.0,1.0,0.4166666666666667,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.08333333333333333,1.0,0.4166666666666667,0.0,4.823333333333334,0.0,0.0,0.0,0.0,0.0049636042676866055,0.22593559324741364,0.002090663416311145,0.010766668245196342,0.0035630357451736927,0.12235704809427261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I'm in love with the lobster ravioli!,explicit,True,True,True,True,True,True,True,True,True,Misclassified,9.0,1.0,3.4444444444444446,2.165954298846436,1.0,1.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.0,0.1111111111111111,1.0,0.5555555555555556,0.1111111111111111,5.682857142857145,0.0,0.0,0.625,0.6,0.004007845651358366,0.9489665627479553,0.0006951323011890054,0.006583091337233782,0.002636584686115384,0.016761615872383118,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I've had better Japanese food at a mall food court.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,12.0,1.0,3.5,2.0615528128088303,0.9166666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,1.0,0.4166666666666667,0.08333333333333333,3.650000000000002,0.0,0.0,0.25,0.25,0.0074498290196061134,0.032869890332221985,0.007729277480393648,0.012351891957223415,0.1502896249294281,0.031207868829369545,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"If you're in the neighborhood, definitely stop by for a great meal.",explicit,True,True,True,True,True,True,True,True,True,Misclassified,15.0,1.0,3.7333333333333334,3.08688984074406,1.0,1.0,0.4666666666666667,0.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,0.5333333333333333,0.06666666666666667,5.806666666666668,0.0,0.13333333333333333,0.4,0.625,0.004691920708864927,0.13753530383110046,0.004296867176890373,0.0036884865257889032,0.009207429364323616,0.006876311264932156,0.0,0.0,1.0,0.0,0.0,0.0,0.9629726409912109,11.0,0.0,0.0,0.0,1.0,0.9166666666666666,0.0,0.0,0.0,0.08333333333333333
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,It's cute and simple and I loved it.,implicit,True,True,True,True,True,True,True,True,True,Misclassified,10.0,1.0,2.9,1.57797338380595,0.9,0.8,0.5,0.2,0.0,0.2,0.2,0.0,0.3,1.0,0.6,0.1,0.8049999999999997,0.0,0.0,0.39999999999999997,0.7190476190476192,0.0016248635947704315,0.9670537114143372,0.00033132373937405646,0.002466930076479912,0.0050785657949745655,0.0037517864257097244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,MY date and I both ordered the Branzini and both felt the fish was very average.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,17.0,1.0,3.823529411764706,1.886025828456635,0.8235294117647058,0.6470588235294118,0.5882352941176471,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,1.0,0.5882352941176471,0.058823529411764705,6.137499999999999,0.0,0.058823529411764705,-0.195,0.52,0.009820645675063133,0.06007326766848564,0.007847059518098831,0.026693636551499367,0.0738365650177002,0.08877252787351608,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"The ambiance was pretty cool, but not worth the hassle.",explicit,True,True,True,True,True,True,True,True,True,Misclassified,12.0,1.0,3.8333333333333335,1.9930434571835662,1.0,1.0,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,1.0,0.4166666666666667,0.08333333333333333,4.830000000000002,0.0,0.0,0.15,0.5833333333333334,0.005809057969599962,0.6045657992362976,0.0043820482678711414,0.04520779103040695,0.08601120859384537,0.009764564223587513,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,The lack of AC and the fact that there are a million swarming bodies (although everyone is polite and no one is pushing) is a slight turn off.,explicit,True,True,True,True,True,True,True,True,True,Misclassified,31.0,1.0,3.7096774193548385,2.2171406809599463,0.8709677419354839,0.7741935483870968,0.4838709677419355,0.0967741935483871,0.25806451612903225,0.16129032258064516,0.06451612903225806,0.0,0.0,1.0,0.5806451612903226,0.03225806451612903,10.922857142857143,0.0,0.0967741935483871,-0.16666666666666666,0.16666666666666666,0.0047875442542135715,0.0034151580184698105,0.0031037903390824795,0.003845218336209655,0.008434037677943707,0.015085739083588123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"The service was a bit slow and the portions are a bit small so if you are hungry and in a rush, this is not the place for you.",explicit,True,True,True,True,True,True,True,True,True,Misclassified,31.0,1.0,3.161290322580645,1.6480051321864262,0.7741935483870968,0.5806451612903226,0.6451612903225806,0.06451612903225806,0.1935483870967742,0.12903225806451613,0.0967741935483871,0.06451612903225806,0.06451612903225806,1.0,0.6451612903225806,0.03225806451612903,8.740689655172414,0.0,0.06451612903225806,-0.275,0.4,0.009759774431586266,0.0023446218110620975,0.008862687274813652,0.059258684515953064,0.04357094317674637,0.028956104069948196,0.0,0.0,0.0,1.0,0.0,0.0,0.950594961643219,28.0,0.0,0.0,0.0,1.0,0.9655172413793104,0.0,0.0,0.0,0.034482758620689655
