text,stance
"#CT signs off on #Aetna-#Humana #merger, but other hurdles remain https://t.co/U3KWX7p3rN via @ctmirror",0
@LiveLoveLupe I Marvel will never get those rights. Fox hates Disney and vice versa. Not too mention it would be wo… https://t.co/YbPBybvLdL,0
AntiChoice laws say women can't make their own decisions  #SemST,0
".@realdonaldtrump when my wife &amp; I get that $2,400.00 check signed by you we're going to give our thanks to @SpeakerPelosi for getting it done. You should too. #DemsAreWorkingForUs",0
@DailyCaller @realDonaldTrump Parents want schools to open! There’s a rush to get kids into private schools that are already full.,0
The NRA is an equal opportunity donor even to Joe Plugs HANZY Biden!,0
"Our vote is our voice. We can debate and argue until we are blue in the face, but it is through voting that we action our ethics. Dont allow your vote to be cheapened. Dont feel pressured to vote for a person you morally disagree with. Dont lose hope. #Biden",0
"Leftist, Progressives love 2lie & claim they believe in God, but if they do they would never support #gaymarriage #Obamacare #SemST",0
"Your move, Bob Iger: The Disney CEO's takeover of 21st Century Fox is being challenged by a bidding war for Sky… https://t.co/s4AhyDrzdP",0
Climate deniers is a term used to silence those pointing out the hypocrisy in the fanatical zeal on  #climatetruth #SemST,0
Will the Aetna-Humana #merger close? See why #regulators have some big concerns: https://t.co/LEAveGB4Mn https://t.co/Th5uvTqJa0,0
".#MAGA #Trump #TRUMP #KAG #ConfirmKavanaughNow We need to go after Booker, Harris, Coons, Feinstein, Whitehead. Everything in their past, 7th grade smoking, weed, hookers everything. We need a fake dossier level smear campaign.",0
@nypost Scared companies are losing my support by the day.,0
"Excellent thread that literally summed up all my issues with Warren. I think she's extremely weak, especially in areas the American people would need her support most. Plus she hasn't come out against all the wars like Sanders has. For me, it's #BernieOrGreen.",0
"#States, #DOJ line up to scrutinize #Aetna's $33B #acquisition of #Humana http://t.co/Jb6BKC6enX via @Reuters #mergers",0
@johnkerry @statedept Nude pic of you and Brian Williams on your desk!  MY EYES MY EYES #SemST,0
"The reason Parliament is closed and schools are open is because this Covid-19 virus kills old people than young people,so I don't get the logic behind the argument that kids must stay at home cause Parliament is closed,kids must go to school.",0
Humana shares still have room to fall if #Aetna buyout blocked. Read more: https://t.co/FtSPD5hoKc $AET,0
This deal is certainly going to get the DOJ’s attention and is also going to put the CVS/Aetna deal in the hot seat. https://t.co/aWIVJQMTk3,0
Just want gender politics to be over.  My brain hurts. #genderequity #patriarchy #MRA #SemST,0
CVS: $69B Aetna acquisition to close later than expected https://t.co/KOuAGk67jf,0
Aetna needs investigating. It may be attempting to monopolize the health insurance market via buyout of Humana. https://t.co/LZdErX9bZS,0
RT @br_holden: Atheists have every right to exist in the public sphere.   #freethinker #SemST,0
Icahn drops fight to block Cigna's takeover of Express Scripts https://t.co/MIH7Qi2NLj via @technology,0
"#Breaking Bernie #Sanders won #Utah, his 3rd victory of Super Tuesday. He also carried the state in 2016. @nytimes #Diplomacy140",0
MAGA Left Folks very hostile people have been in my mentions all day... They love the fight... #BernieSanders,0
Fox and Disney were discussing a sort-of merger - but not anymore https://t.co/BzWVAU8fiX https://t.co/rfOP0F4OLn,0
Anthem refuses to sweeten $47B takeover bid that was flatly rejected over the weekend by insurance rival Cigna. http://t.co/IoNUIBIPWD,0
"Still think ANTM/CI gets killed, AET/HUM will be approved...U.S. Antitrust Watchdogs Turn to Insurers https://t.co/pOdgV5Qvp3 via @business",0
@laurawrpie what do u call #teens hu got #pregnant even while ingesting contraceptives? success? Can a chaste girl get pregnant? #SemST,0
@UN ice cracking in the summer?? SO ALARMING. #climatechangehoax #SemST,0
#NancyPelosi is powerful #politician. Was told at school that #women had responsibilities not ambitions. Married young. 5 children in 6 years. Correctly decided she could achieve great things for America. At 78 she dominates #Trump &amp; enjoys one &amp; only marriage. Keep at it Nancy.,0
"Still think ANTM/CI gets killed, AET/HUM will be approved...U.S. Antitrust Watchdogs Turn to Insurers https://t.co/pOdgV5Qvp3 via @business",0
"AMA: Proposed Anthem-Cigna deal would slash competition in SF, California http://t.co/yjF3vASIPg via @svbizjournal",0
