feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score
punctuation_density,0.716981,0.465291,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.649,0.716981
function_word_ratio,0.625122,0.306568,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4904,0.625122
fear,0.529336,0.384794,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7269,0.529336
anger,0.501058,0.209886,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4189,0.501058
type_token_ratio,0.40895,0.343808,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8407,0.40895
verb_ratio,0.397478,0.192119,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4833,0.397478
noun_ratio,0.394976,0.291555,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7382,0.394976
hapax_legomena,0.347749,0.195415,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5619,0.347749
adv_ratio,0.329581,0.205242,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6227,0.329581
hedge_C_count,0.312354,0.261159,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8361,0.312354
sentence_count,0.308119,0.231691,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.752,0.308119
hedges_score,0.289185,0.188099,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6504,0.289185
readability_score,0.274252,0.16415,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5985,0.274252
sentence_length_variation,0.251275,0.154106,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6133,0.251275
adj_ratio,0.241732,0.130909,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5415,0.241732
doubt_adverbs_count,0.241178,0.205694,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8529,0.241178
avg_word_length,0.236429,0.157879,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6678,0.236429
surprise,0.205076,0.239579,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.1682,0.205076
pronoun_ratio,0.201899,0.140138,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6941,0.201899
joy,0.197091,0.194696,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9878,0.197091
C_ratio,0.19117,0.089501,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4682,0.19117
stopword_ratio,0.186614,0.126406,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6774,0.186614
punctuation_usage,0.182124,0.139809,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7677,0.182124
sentiment_subjectivity,0.176363,0.1351,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.766,0.176363
subordinate_clause_ratio,0.176337,0.159876,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9067,0.176337
hedge_E_count,0.171696,0.11738,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6837,0.171696
word_count,0.170191,0.153567,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9023,0.170191
sadness,0.168661,0.1005,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5959,0.168661
certainty_verbs_count,0.168597,0.115691,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6862,0.168597
certainty_adjectives_count,0.159794,0.104907,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6565,0.159794
N_ratio,0.150294,0.059643,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3968,0.150294
std_word_length,0.144034,0.080586,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5595,0.144034
hedge_D_count,0.142882,0.075584,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.529,0.142882
certainty_adverbs_count,0.136516,0.096958,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7102,0.136516
hedge_N_count,0.123618,0.076844,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6216,0.123618
D_ratio,0.121881,0.099147,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8135,0.121881
disgust,0.119233,0.077555,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6504,0.119233
doubt_adjectives_count,0.102927,0.104073,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0111,0.102927
E_ratio,0.102584,0.070888,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.691,0.102584
sentiment_polarity,0.101223,0.087513,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8646,0.101223
doubt_verbs_count,0.058733,0.038598,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6572,0.058733
hedge_I_count,0.05033,0.04782,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9501,0.05033
I_ratio,0.017371,0.014698,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8461,0.017371
avg_dependency_depth,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
