feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score
type_token_ratio,0.568214,0.310013,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5456,0.568214
noun_ratio,0.56365,0.32813,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5822,0.56365
hapax_legomena,0.547587,0.239752,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4378,0.547587
punctuation_density,0.51443,0.526638,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0237,0.51443
sentence_count,0.458815,0.229392,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5,0.458815
pronoun_ratio,0.428528,0.214878,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5014,0.428528
word_count,0.422067,0.119455,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.283,0.422067
stopword_ratio,0.414337,0.241565,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.583,0.414337
doubt_adverbs_count,0.412391,0.287245,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6965,0.412391
function_word_ratio,0.399873,0.301445,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7539,0.399873
certainty_verbs_count,0.382506,0.313635,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8199,0.382506
fear,0.371102,0.244763,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6596,0.371102
avg_word_length,0.292583,0.311231,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0637,0.292583
adj_ratio,0.260869,0.121798,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4669,0.260869
sentiment_polarity,0.254105,0.137739,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5421,0.254105
verb_ratio,0.24231,0.204349,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8433,0.24231
std_word_length,0.239557,0.203157,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8481,0.239557
certainty_adverbs_count,0.239272,0.148584,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.621,0.239272
anger,0.236039,0.166105,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7037,0.236039
surprise,0.228682,0.183432,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8021,0.228682
hedge_C_count,0.221386,0.165763,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7488,0.221386
subordinate_clause_ratio,0.204236,0.125909,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6165,0.204236
joy,0.202918,0.1343,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6618,0.202918
hedge_E_count,0.179994,0.117473,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6526,0.179994
punctuation_usage,0.179389,0.140948,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7857,0.179389
adv_ratio,0.167931,0.143243,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.853,0.167931
hedges_score,0.166626,0.146167,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8772,0.166626
hedge_D_count,0.162768,0.124518,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.765,0.162768
readability_score,0.162618,0.11905,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7321,0.162618
sentiment_subjectivity,0.133219,0.115508,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8671,0.133219
hedge_N_count,0.128974,0.152548,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.1828,0.128974
D_ratio,0.127511,0.105028,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8237,0.127511
doubt_adjectives_count,0.126291,0.081146,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6425,0.126291
certainty_adjectives_count,0.116391,0.072151,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6199,0.116391
N_ratio,0.111574,0.116287,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0422,0.111574
sentence_length_variation,0.109018,0.065222,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5983,0.109018
C_ratio,0.090589,0.092744,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0238,0.090589
sadness,0.089969,0.067635,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7518,0.089969
E_ratio,0.086016,0.035592,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4138,0.086016
doubt_verbs_count,0.065878,0.059522,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9035,0.065878
disgust,0.040068,0.03407,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8503,0.040068
I_ratio,0.007918,0.015072,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.9035,0.007918
hedge_I_count,0.007875,0.014908,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.8931,0.007875
avg_dependency_depth,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
