feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score
type_token_ratio,0.42972,0.286694,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6672,0.42972
avg_word_length,0.417334,0.245383,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.588,0.417334
word_count,0.363539,0.122219,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3362,0.363539
hapax_legomena,0.311758,0.19153,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6144,0.311758
fear,0.289472,0.126567,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4372,0.289472
hedge_C_count,0.268736,0.179773,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.669,0.268736
noun_ratio,0.24296,0.242464,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.998,0.24296
stopword_ratio,0.234994,0.120464,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5126,0.234994
punctuation_density,0.231419,0.124998,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5401,0.231419
verb_ratio,0.198898,0.115336,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5799,0.198898
std_word_length,0.181042,0.100297,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.554,0.181042
function_word_ratio,0.166453,0.115489,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6938,0.166453
sentence_count,0.14417,0.089799,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6229,0.14417
certainty_adjectives_count,0.141646,0.037601,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2655,0.141646
C_ratio,0.139686,0.083345,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5967,0.139686
hedge_N_count,0.111398,0.081038,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7275,0.111398
adj_ratio,0.110652,0.103082,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9316,0.110652
N_ratio,0.100047,0.081222,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8118,0.100047
doubt_adverbs_count,0.086654,0.048686,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5618,0.086654
joy,0.082771,0.033512,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4049,0.082771
hedges_score,0.082331,0.04075,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.495,0.082331
anger,0.080539,0.042525,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.528,0.080539
readability_score,0.073828,0.058832,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7969,0.073828
surprise,0.069367,0.037522,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5409,0.069367
pronoun_ratio,0.068176,0.059005,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8655,0.068176
certainty_adverbs_count,0.066184,0.040112,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6061,0.066184
subordinate_clause_ratio,0.065251,0.04558,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6985,0.065251
hedge_D_count,0.062539,0.031339,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5011,0.062539
adv_ratio,0.059348,0.033303,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5611,0.059348
sentiment_subjectivity,0.056192,0.045482,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8094,0.056192
certainty_verbs_count,0.050703,0.054352,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.072,0.050703
doubt_adjectives_count,0.048553,0.02775,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5715,0.048553
punctuation_usage,0.048395,0.034729,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7176,0.048395
