feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score
fear,0.427729,0.198598,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4643,0.427729
anger,0.42586,0.120164,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2822,0.42586
noun_ratio,0.397081,0.178447,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4494,0.397081
joy,0.381068,0.093644,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2457,0.381068
verb_ratio,0.365553,0.097183,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2659,0.365553
surprise,0.361885,0.132637,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3665,0.361885
avg_word_length,0.335561,0.109783,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3272,0.335561
punctuation_density,0.305619,0.11233,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3675,0.305619
disgust,0.286651,0.051408,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.1793,0.286651
sadness,0.274293,0.054794,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.1998,0.274293
std_word_length,0.254313,0.074418,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2926,0.254313
hedge_C_count,0.247926,0.076716,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3094,0.247926
function_word_ratio,0.224404,0.075208,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3351,0.224404
stopword_ratio,0.223756,0.062838,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2808,0.223756
readability_score,0.217136,0.06913,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3184,0.217136
type_token_ratio,0.20863,0.112094,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5373,0.20863
sentiment_subjectivity,0.206128,0.057667,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2798,0.206128
word_count,0.193613,0.11078,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5722,0.193613
adj_ratio,0.187962,0.072714,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3869,0.187962
punctuation_usage,0.183949,0.049487,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.269,0.183949
subordinate_clause_ratio,0.179839,0.070543,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3923,0.179839
sentiment_polarity,0.162188,0.060053,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3703,0.162188
hapax_legomena,0.12566,0.04706,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3745,0.12566
pronoun_ratio,0.120767,0.061903,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5126,0.120767
adv_ratio,0.114856,0.030924,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2692,0.114856
sentence_length_variation,0.099671,0.038076,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.382,0.099671
certainty_adjectives_count,0.091697,0.058964,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.643,0.091697
sentence_count,0.089726,0.071022,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7915,0.089726
hedges_score,0.054514,0.03489,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.64,0.054514
C_ratio,0.054399,0.041499,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7629,0.054399
doubt_adverbs_count,0.053504,0.039812,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7441,0.053504
certainty_verbs_count,0.049479,0.053607,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0834,0.049479
certainty_adverbs_count,0.033514,0.03902,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.1643,0.033514
doubt_adjectives_count,0.025777,0.021813,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8462,0.025777
E_ratio,0.016838,0.016793,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9973,0.016838
N_ratio,0.010451,0.012154,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.163,0.010451
hedge_N_count,0.006519,0.010627,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.6302,0.006519
doubt_verbs_count,0.00626,0.010338,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.6514,0.00626
D_ratio,0.003438,0.006569,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.9107,0.003438
hedge_E_count,0.002047,0.003806,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.8593,0.002047
avg_dependency_depth,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
I_ratio,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
hedge_D_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
hedge_I_count,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
