feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
D_ratio,0.6754703295804247,,0.0024,0.0022,0.0024 ± 0.0121,0.0022 ± 0.0107,0.04627577215433121
hedges_score,0.8455446036024451,,0.1643,0.1607,0.1643 ± 0.3574,0.1607 ± 0.3534,0.041061416268348694
certainty_adverbs_count,0.6251072714221033,,0.1161,0.1253,0.1161 ± 0.3738,0.1253 ± 0.3618,0.03924400731921196
sentence_count*,8.044386526695213e-12,*,1.4776,1.8496,1.4776 ± 0.861,1.8496 ± 1.2114,0.03844919055700302
E_ratio,0.20072998675937698,,0.0054,0.0042,0.0054 ± 0.019,0.0042 ± 0.0165,0.03754875436425209
noun_ratio*,1.4385284055087491e-08,*,0.4549,0.4125,0.4549 ± 0.1419,0.4125 ± 0.1474,0.034112874418497086
fear*,1.9887967527770694e-14,*,0.2391,0.3806,0.2391 ± 0.3294,0.3806 ± 0.3817,0.03205115720629692
anger,0.9263347302357392,,0.1401,0.1411,0.1401 ± 0.2288,0.1411 ± 0.2163,0.03042580373585224
surprise*,0.0016752096007040394,*,0.1396,0.1124,0.1396 ± 0.1693,0.1124 ± 0.1671,0.029579048976302147
verb_ratio*,4.3030875767478075e-06,*,0.1049,0.1211,0.1049 ± 0.0658,0.1211 ± 0.0706,0.028406258672475815
type_token_ratio*,0.0004995666038485966,*,0.9162,0.9019,0.9162 ± 0.0775,0.9019 ± 0.0821,0.027970265597105026
readability_score,0.35613369276485807,,9.5707,9.3862,9.5707 ± 3.8243,9.3862 ± 3.96,0.02739325910806656
C_ratio,0.25035374056136234,,0.9887,0.9902,0.9887 ± 0.0281,0.9902 ± 0.0248,0.027028851211071014
punctuation_density*,9.358231839415403e-05,*,0.3948,0.3598,0.3948 ± 0.1769,0.3598 ± 0.1716,0.02698831632733345
adv_ratio,0.054093608020840137,,0.0242,0.0281,0.0242 ± 0.0387,0.0281 ± 0.0397,0.026685679331421852
pronoun_ratio*,0.00029953691272092937,*,0.0228,0.0304,0.0228 ± 0.0372,0.0304 ± 0.0435,0.0264009777456522
sentence_length_variation*,2.281616428862054e-08,*,1.4825,2.3611,1.4825 ± 2.6275,2.3611 ± 3.4104,0.026176922023296356
doubt_adjectives_count*,0.02997614233806967,*,0.0858,0.1214,0.0858 ± 0.2895,0.1214 ± 0.3464,0.025851711630821228
joy*,6.878603774500671e-08,*,0.1351,0.0826,0.1351 ± 0.2075,0.0826 ± 0.1674,0.02573966234922409
std_word_length*,0.013020360876575394,*,3.6743,3.5614,3.6743 ± 0.863,3.5614 ± 0.9037,0.024834994226694107
disgust,0.27135019435140195,,0.0077,0.0106,0.0077 ± 0.0371,0.0106 ± 0.0624,0.024464424699544907
hapax_legomena*,0.0008232943798967668,*,0.8514,0.8291,0.8514 ± 0.1264,0.8291 ± 0.132,0.02375279739499092
sentiment_subjectivity,0.22609296450144362,,0.2627,0.2818,0.2627 ± 0.3141,0.2818 ± 0.2997,0.023543046787381172
stopword_ratio*,0.0006773805317034738,*,0.2116,0.2327,0.2116 ± 0.1188,0.2327 ± 0.1224,0.02312306873500347
sentiment_polarity,0.07020745667079448,,0.0714,0.0493,0.0714 ± 0.2473,0.0493 ± 0.2259,0.02308177389204502
doubt_adverbs_count*,0.00377895903989126,*,0.2177,0.2982,0.2177 ± 0.4918,0.2982 ± 0.5845,0.02277226373553276
hedge_E_count,0.3319197197339504,,0.091,0.0765,0.091 ± 0.3056,0.0765 ± 0.2758,0.02246735244989395
punctuation_usage,0.6852273563591598,,0.0845,0.0832,0.0845 ± 0.064,0.0832 ± 0.0587,0.02233939804136753
sadness,0.1049166629450517,,0.1105,0.0949,0.1105 ± 0.1997,0.0949 ± 0.175,0.022236287593841553
avg_word_length,0.1408171989307883,,4.7796,4.7133,4.7796 ± 0.8744,4.7133 ± 0.8786,0.02183513715863228
word_count*,1.2804068792966668e-07,*,22.2929,25.0026,22.2929 ± 7.9394,25.0026 ± 11.6014,0.0216117762029171
subordinate_clause_ratio,0.6088017134340031,,0.0415,0.0428,0.0415 ± 0.0482,0.0428 ± 0.0474,0.021128471940755844
adj_ratio,0.501802051725172,,0.0601,0.0584,0.0601 ± 0.0489,0.0584 ± 0.0494,0.019046267494559288
function_word_ratio*,0.0016533494251254497,*,0.2672,0.2895,0.2672 ± 0.1361,0.2895 ± 0.14,0.018925683572888374
doubt_verbs_count,0.5454802146669033,,0.0145,0.0185,0.0145 ± 0.1197,0.0185 ± 0.1347,0.01834128610789776
certainty_verbs_count*,0.0003322296590709208,*,0.1913,0.2916,0.1913 ± 0.4784,0.2916 ± 0.6001,0.017379309982061386
hedge_C_count*,8.063668695676794e-08,*,16.7968,18.9274,16.7968 ± 6.4399,18.9274 ± 8.7676,0.016727540642023087
certainty_adjectives_count,0.3903148616025275,,0.2098,0.2309,0.2098 ± 0.4817,0.2309 ± 0.4747,0.0149992061778903
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
hedge_D_count,0.8240339077451667,,0.0475,0.0449,0.0475 ± 0.2526,0.0449 ± 0.2071,
hedge_N_count,0.43603456228084525,,0.0633,0.0765,0.0633 ± 0.3062,0.0765 ± 0.3516,
hedge_I_count,0.3452201818592523,,0.004,0.0092,0.004 ± 0.0628,0.0092 ± 0.1405,
I_ratio,0.6488340161700328,,0.0002,0.0003,0.0002 ± 0.0031,0.0003 ± 0.0046,
N_ratio,0.7625061869067338,,0.0033,0.0031,0.0033 ± 0.0168,0.0031 ± 0.0144,
