feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
fear*,5.115122801984519e-11,*,0.1755,0.3527,0.1755 ± 0.2872,0.3527 ± 0.3803,0.07515066862106323
hedges_score,0.06820513604153913,,0.1965,0.1444,0.1965 ± 0.3852,0.1444 ± 0.3387,0.05695725977420807
C_ratio*,0.002005895253380135,*,0.9842,0.9913,0.9842 ± 0.0333,0.9913 ± 0.0234,0.05443781241774559
doubt_adjectives_count,0.3026367260912741,,0.0836,0.1084,0.0836 ± 0.2882,0.1084 ± 0.3211,0.049194056540727615
surprise*,9.665367626645687e-05,*,0.1748,0.1193,0.1748 ± 0.1998,0.1193 ± 0.1575,0.04473486170172691
avg_word_length*,5.194159065847491e-15,*,4.4601,4.9631,4.4601 ± 0.676,4.9631 ± 0.903,0.04239611700177193
sentiment_polarity*,0.0003389737521573875,*,0.0999,0.0299,0.0999 ± 0.2888,0.0299 ± 0.1967,0.038950495421886444
hedge_C_count,0.31932231355941454,,17.2105,16.7307,17.2105 ± 4.5865,16.7307 ± 7.3382,0.03688934072852135
type_token_ratio,0.2927074608020635,,0.9196,0.9132,0.9196 ± 0.0695,0.9132 ± 0.0846,0.0360022597014904
word_count,0.9723632779893949,,22.5913,22.6161,22.5913 ± 5.7866,22.6161 ± 11.4662,0.035322368144989014
function_word_ratio*,7.64248725259389e-12,*,0.3172,0.2432,0.3172 ± 0.1366,0.2432 ± 0.1332,0.034435804933309555
pronoun_ratio*,9.337954267772472e-06,*,0.0337,0.0201,0.0337 ± 0.0402,0.0201 ± 0.0371,0.030587926506996155
adj_ratio,0.2168423459982018,,0.0587,0.054,0.0587 ± 0.0454,0.054 ± 0.0503,0.02916748635470867
E_ratio,0.6303812379536444,,0.0056,0.0049,0.0056 ± 0.019,0.0049 ± 0.0182,0.028654374182224274
sentence_length_variation,0.5785268805075234,,1.5038,1.6253,1.5038 ± 2.5554,1.6253 ± 2.9837,0.028503388166427612
joy*,2.7200790558528037e-07,*,0.1547,0.0775,0.1547 ± 0.2285,0.0775 ± 0.1376,0.0277544092386961
certainty_adjectives_count*,5.373922677573304e-05,*,0.2693,0.13,0.2693 ± 0.5033,0.13 ± 0.3548,0.027215082198381424
noun_ratio,0.05228807853832007,,0.4345,0.4568,0.4345 ± 0.1416,0.4568 ± 0.1498,0.026613749563694
punctuation_usage,0.31368531769769203,,0.0792,0.084,0.0792 ± 0.0635,0.084 ± 0.0569,0.026319470256567
disgust,0.8046418262338578,,0.0085,0.0076,0.0085 ± 0.0448,0.0076 ± 0.0531,0.025091327726840973
sentence_count,0.3246673234387528,,1.5046,1.582,1.5046 ± 0.8538,1.582 ± 1.1237,0.02373836375772953
sadness,0.21727963254566143,,0.1174,0.0984,0.1174 ± 0.2114,0.0984 ± 0.1787,0.023048609495162964
sentiment_subjectivity*,0.0002998305127267068,*,0.3271,0.2353,0.3271 ± 0.3323,0.2353 ± 0.3094,0.022009706124663353
anger*,0.016874085370049897,*,0.0935,0.131,0.0935 ± 0.1899,0.131 ± 0.2082,0.02156229317188263
stopword_ratio*,1.2464550038682528e-09,*,0.2512,0.1937,0.2512 ± 0.1183,0.1937 ± 0.119,0.02140463888645172
readability_score*,6.396971292495358e-07,*,8.4997,9.938,8.4997 ± 3.3442,9.938 ± 3.9033,0.019974390044808388
subordinate_clause_ratio,0.05118969054169118,,0.0463,0.0384,0.0463 ± 0.0558,0.0384 ± 0.047,0.019680073484778404
hapax_legomena,0.25988973753753675,,0.8587,0.8478,0.8587 ± 0.1113,0.8478 ± 0.1352,0.01903839036822319
verb_ratio,0.992086547923869,,0.1132,0.1131,0.1132 ± 0.0752,0.1131 ± 0.0735,0.015367378480732441
punctuation_density*,1.0443731226806831e-06,*,0.3425,0.4071,0.3425 ± 0.1651,0.4071 ± 0.1681,0.015057059936225414
adv_ratio*,1.329095919024753e-05,*,0.0335,0.0202,0.0335 ± 0.0429,0.0202 ± 0.0332,0.014658396132290363
std_word_length*,1.2764663177335968e-07,*,3.4273,3.777,3.4273 ± 0.839,3.777 ± 0.8245,0.014346515759825706
N_ratio*,0.00011751260752071517,*,0.0071,0.0014,0.0071 ± 0.0247,0.0014 ± 0.0094,0.010971268638968468
certainty_verbs_count,0.2499465044610985,,0.2384,0.195,0.2384 ± 0.4942,0.195 ± 0.4619,0.00476460624486208
certainty_adverbs_count*,0.0007794932387432485,*,0.195,0.0898,0.195 ± 0.4752,0.0898 ± 0.297,
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
hedge_D_count,0.7182275487957155,,0.0495,0.0433,0.0495 ± 0.2312,0.0433 ± 0.2039,
doubt_verbs_count,0.1617324157659129,,0.0279,0.0124,0.0279 ± 0.1648,0.0124 ± 0.1108,
doubt_adverbs_count*,0.031529052035529324,*,0.3034,0.2136,0.3034 ± 0.5636,0.2136 ± 0.493,
hedge_E_count,0.4183967805092017,,0.0991,0.0805,0.0991 ± 0.3094,0.0805 ± 0.2725,
hedge_N_count*,0.0009991462322742539,*,0.13,0.0372,0.13 ± 0.4407,0.0372 ± 0.2464,
hedge_I_count,1.0,,0.0093,0.0093,0.0093 ± 0.0961,0.0093 ± 0.1669,
D_ratio,0.7092187144879339,,0.0026,0.0022,0.0026 ± 0.0122,0.0022 ± 0.0115,
I_ratio,0.39229383837606857,,0.0005,0.0002,0.0005 ± 0.0048,0.0002 ± 0.0033,
