feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
certainty_verbs_count*,0.0006015528754716869,*,0.601,0.3212,0.601 ± 0.9137,0.3212 ± 0.6538,0.06807538866996765
hedges_score,0.06920897886158897,,0.1087,0.1698,0.1087 ± 0.2978,0.1698 ± 0.3583,0.05937596783041954
std_word_length*,1.0076726814719818e-05,*,3.1601,3.5676,3.1601 ± 0.8897,3.5676 ± 0.8992,0.05604888126254082
pronoun_ratio*,5.313785583851866e-06,*,0.052,0.0297,0.052 ± 0.0558,0.0297 ± 0.0373,0.04746469855308533
hedge_C_count*,0.002104702073263172,*,23.5699,20.1969,23.5699 ± 12.0254,20.1969 ± 9.1903,0.047214701771736145
disgust,0.28410607212081423,,0.0095,0.0182,0.0095 ± 0.0566,0.0182 ± 0.098,0.0468735508620739
doubt_adverbs_count,0.08796104024073188,,0.2591,0.3679,0.2591 ± 0.5639,0.3679 ± 0.6804,0.04473628103733063
C_ratio,0.3305422259035815,,0.9937,0.9915,0.9937 ± 0.0216,0.9915 ± 0.0221,0.04109674692153931
joy*,4.7162649372280733e-05,*,0.2141,0.1112,0.2141 ± 0.2846,0.1112 ± 0.1993,0.03865979239344597
certainty_adverbs_count*,0.02587306615042224,*,0.2383,0.1347,0.2383 ± 0.5256,0.1347 ± 0.3715,0.038495983928442
word_count*,0.006725477534907684,*,29.7513,26.2383,29.7513 ± 14.2284,26.2383 ± 10.8774,0.03370000049471855
punctuation_density*,5.325782930782132e-05,*,0.2748,0.3419,0.2748 ± 0.1563,0.3419 ± 0.1662,0.03341645002365112
type_token_ratio*,0.00022303051844653425,*,0.8673,0.9025,0.8673 ± 0.1068,0.9025 ± 0.0757,0.03291521593928337
adv_ratio,0.5613820043234252,,0.027,0.0292,0.027 ± 0.0381,0.0292 ± 0.0365,0.031056705862283707
surprise*,0.0009323390958185209,*,0.0861,0.1437,0.0861 ± 0.1416,0.1437 ± 0.1934,0.030503379181027412
stopword_ratio*,0.004911261338731528,*,0.2824,0.2479,0.2824 ± 0.1284,0.2479 ± 0.1104,0.029356516897678375
avg_word_length*,2.8618425522060804e-05,*,4.3103,4.6443,4.3103 ± 0.7353,4.6443 ± 0.8124,0.02923659048974514
sentiment_polarity*,0.002357076446703016,*,0.1522,0.065,0.1522 ± 0.3124,0.065 ± 0.2426,0.028668394312262535
noun_ratio*,0.0016220512748587863,*,0.3593,0.4052,0.3593 ± 0.1407,0.4052 ± 0.1433,0.026637567207217216
adj_ratio,0.12552341948759455,,0.0534,0.0607,0.0534 ± 0.0466,0.0607 ± 0.0478,0.026629770174622536
hapax_legomena*,0.001063794906528608,*,0.7781,0.8263,0.7781 ± 0.1584,0.8263 ± 0.1275,0.021935787051916122
sentiment_subjectivity,0.3076606807136346,,0.3538,0.3226,0.3538 ± 0.3031,0.3226 ± 0.2965,0.020513486117124557
sentence_length_variation,0.10741316044105412,,3.3853,2.7655,3.3853 ± 3.6576,2.7655 ± 3.8857,0.020488867536187172
verb_ratio,0.06590338461971482,,0.1292,0.116,0.1292 ± 0.0663,0.116 ± 0.0737,0.019102653488516808
fear,0.1264689335072744,,0.3983,0.3401,0.3983 ± 0.365,0.3401 ± 0.3807,0.018954692408442497
punctuation_usage,0.8722229053875281,,0.0841,0.0851,0.0841 ± 0.0703,0.0851 ± 0.0591,0.01801345869898796
subordinate_clause_ratio,0.8869693362388561,,0.0441,0.0434,0.0441 ± 0.0485,0.0434 ± 0.048,0.017488501965999603
readability_score*,0.01759918107192113,*,8.5893,9.5627,8.5893 ± 4.0308,9.5627 ± 3.99,0.0172236617654562
function_word_ratio*,0.006857288092427345,*,0.3445,0.3074,0.3445 ± 0.1379,0.3074 ± 0.1308,0.016293026506900787
sadness,0.5904716571583613,,0.0726,0.0821,0.0726 ± 0.1781,0.0821 ± 0.1702,0.0132999112829566
doubt_adjectives_count,0.6045222754116798,,0.1399,0.1606,0.1399 ± 0.3765,0.1606 ± 0.4084,0.01092536747455597
anger,0.1860471740481692,,0.0994,0.1271,0.0994 ± 0.1719,0.1271 ± 0.2332,0.00826345942914486
certainty_adjectives_count*,2.1785867682740933e-05,*,0.5959,0.2746,0.5959 ± 0.9085,0.2746 ± 0.5023,0.005297068040817976
sentence_count*,2.3892589500969955e-05,*,2.4508,1.8653,2.4508 ± 1.5542,1.8653 ± 1.0957,0.0020375438034534454
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
doubt_verbs_count,0.4761746808792151,,0.0259,0.0155,0.0259 ± 0.1593,0.0155 ± 0.124,
hedge_D_count,0.5872494635062642,,0.0311,0.0415,0.0311 ± 0.174,0.0415 ± 0.1998,
hedge_E_count,0.4385180423323093,,0.0518,0.0725,0.0518 ± 0.2445,0.0725 ± 0.2794,
hedge_I_count,,,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0,
hedge_N_count,0.16261907930602074,,0.0415,0.0881,0.0415 ± 0.2244,0.0881 ± 0.4051,
D_ratio,0.6413834556334064,,0.0015,0.0019,0.0015 ± 0.0087,0.0019 ± 0.0095,
E_ratio,0.8927036770679543,,0.0036,0.0033,0.0036 ± 0.0183,0.0033 ± 0.0132,
I_ratio,,,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0,
N_ratio,0.09857121871308765,,0.0013,0.0033,0.0013 ± 0.0072,0.0033 ± 0.0147,
