feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.18100667646294108,0.027412304654717445,0.9879 ± 0.029,0.9902 ± 0.0248
D_ratio,0.10013199451300915,0.023795461282134056,0.0024 ± 0.0113,0.0022 ± 0.0107
E_ratio,0.07011882362974932,0.0,0.0032 ± 0.015,0.0042 ± 0.0165
I_ratio,0.45228895241470035,0.0,0.0002 ± 0.0032,0.0003 ± 0.0046
N_ratio*,0.04017394608503757,0.015111993066966534,0.0062 ± 0.0205,0.0031 ± 0.0144
adj_ratio,0.09427915472119076,0.02420828305184841,0.0601 ± 0.0474,0.0584 ± 0.0494
adv_ratio*,0.06141091598933677,0.02029462344944477,0.0365 ± 0.0395,0.0281 ± 0.0397
anger,-0.0626986053273179,0.025855712592601776,0.1385 ± 0.2324,0.1411 ± 0.2163
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.4953133390617125,0.04411366954445839,4.3685 ± 0.6286,4.7133 ± 0.8786
certainty_adjectives_count*,0.24627080960408548,0.02657032385468483,0.412 ± 0.7205,0.2309 ± 0.4747
certainty_adverbs_count*,0.10055989378187095,0.020843256264925003,0.2559 ± 0.5341,0.1253 ± 0.3618
certainty_verbs_count*,0.045397791102245365,0.03765309974551201,0.4465 ± 0.6798,0.2916 ± 0.6001
disgust,0.05188228483486523,0.02094491384923458,0.0166 ± 0.0823,0.0106 ± 0.0624
doubt_adjectives_count,-0.01639645432983816,0.050909560173749924,0.1397 ± 0.3723,0.1214 ± 0.3464
doubt_adverbs_count,-0.1445568469156672,0.020413078367710114,0.3394 ± 0.5839,0.2982 ± 0.5845
doubt_verbs_count*,-0.015546524241567479,0.0,0.0381 ± 0.1916,0.0185 ± 0.1347
fear*,-0.3661114153938731,0.04068256914615631,0.281 ± 0.3406,0.3806 ± 0.3817
function_word_ratio*,0.03359714935332008,0.027926351875066757,0.3578 ± 0.1401,0.2895 ± 0.14
hapax_legomena,0.24402843795974982,0.022502513602375984,0.8162 ± 0.1294,0.8291 ± 0.132
hedge_C_count*,0.7271619850797647,0.02596118673682213,22.274 ± 9.983,18.9274 ± 8.7676
hedge_D_count,-0.1176424976074453,0.0,0.0581 ± 0.2563,0.0449 ± 0.2071
hedge_E_count,-0.08680324506109642,0.0,0.069 ± 0.2935,0.0765 ± 0.2758
hedge_I_count,-0.5994779905299573,0.0,0.0054 ± 0.0737,0.0092 ± 0.1405
hedge_N_count*,0.030584631206397393,0.0,0.1579 ± 0.5139,0.0765 ± 0.3516
hedges_score,-0.15961225613865793,0.03281274810433388,0.1904 ± 0.3789,0.1607 ± 0.3534
joy*,0.11597395839411799,0.03174816071987152,0.1308 ± 0.2238,0.0826 ± 0.1674
noun_ratio*,0.12805324476012422,0.0309451911598444,0.3658 ± 0.1419,0.4125 ± 0.1474
pronoun_ratio*,0.1831549804556883,0.038597989827394485,0.0505 ± 0.0508,0.0304 ± 0.0435
punctuation_density*,-0.19973062706605904,0.026812488213181496,0.2862 ± 0.1596,0.3598 ± 0.1716
punctuation_usage*,0.10611079041025785,0.02660130336880684,0.0765 ± 0.0583,0.0832 ± 0.0587
readability_score*,0.015670888243509488,0.02077556401491165,8.2609 ± 3.5385,9.3862 ± 3.96
sadness,-0.03808146069391579,0.025015633553266525,0.098 ± 0.195,0.0949 ± 0.175
sentence_count*,-0.11442447804065434,0.008895652368664742,2.0508 ± 1.3063,1.8496 ± 1.2114
sentence_length_variation*,-0.036544680700517175,0.024304557591676712,2.8022 ± 3.4851,2.3611 ± 3.4104
sentiment_polarity*,-0.02024322460660884,0.03592529520392418,0.0877 ± 0.274,0.0493 ± 0.2259
sentiment_subjectivity*,0.0971058113277317,0.013772476464509964,0.3606 ± 0.3122,0.2818 ± 0.2997
std_word_length*,0.4064231860252955,0.024479808285832405,3.2265 ± 0.7663,3.5614 ± 0.9037
stopword_ratio*,0.24105057587300435,0.04998942092061043,0.2938 ± 0.1264,0.2327 ± 0.1224
subordinate_clause_ratio*,0.1380642780262119,0.025172410532832146,0.0539 ± 0.0533,0.0428 ± 0.0474
surprise*,-0.0180640039229191,0.033987194299697876,0.146 ± 0.214,0.1124 ± 0.1671
type_token_ratio,-0.31759804728131635,0.0292087122797966,0.8952 ± 0.0802,0.9019 ± 0.0821
verb_ratio*,-0.1721095400512801,0.01801123470067978,0.1328 ± 0.0712,0.1211 ± 0.0706
word_count*,-0.5924394157976751,0.027745235711336136,28.1216 ± 11.5127,25.0026 ± 11.6014
