feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.1632312054526575,0.0069220890291035175,0.988 ± 0.0309,0.9879 ± 0.0283
D_ratio,0.19977402574791417,0.0,0.002 ± 0.0098,0.0022 ± 0.0104
E_ratio,-0.4882445884497746,0.0,0.0015 ± 0.0106,0.004 ± 0.0164
I_ratio,-0.09326822497127624,0.0,0.0 ± 0.0,0.0007 ± 0.0072
N_ratio,0.4532313984420847,0.0,0.0085 ± 0.0285,0.0052 ± 0.0188
adj_ratio,-0.19932553942562842,0.03453443944454193,0.0622 ± 0.0507,0.0624 ± 0.0493
adv_ratio,-0.46165868362758516,0.026594029739499092,0.0336 ± 0.0446,0.0377 ± 0.0474
anger,0.661097955307958,0.011238728649914265,0.1925 ± 0.2612,0.1658 ± 0.2118
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.6954972151577546,0.028052493929862976,4.1593 ± 0.6534,4.4348 ± 0.8027
certainty_adjectives_count,-0.02856211027090946,0.035745732486248016,0.268 ± 0.5685,0.3306 ± 0.5599
certainty_adverbs_count,0.22747152676368332,0.0,0.1753 ± 0.4085,0.1653 ± 0.4243
certainty_verbs_count,-0.20583624586662394,0.0,0.3505 ± 0.5409,0.3967 ± 0.6935
disgust,-0.17325675242437613,0.020641105249524117,0.004 ± 0.0108,0.0086 ± 0.0275
doubt_adjectives_count,0.31086346283213145,0.06352292001247406,0.1237 ± 0.331,0.1074 ± 0.3234
doubt_adverbs_count*,0.05831980620578672,0.0,0.1959 ± 0.4481,0.3554 ± 0.6023
doubt_verbs_count,0.07954787598777203,0.0,0.0103 ± 0.1015,0.0289 ± 0.1679
fear*,0.8874857982530928,0.05124988779425621,0.6241 ± 0.3451,0.45 ± 0.3765
function_word_ratio,-0.40270060885228603,0.01588643155992031,0.34 ± 0.1135,0.3371 ± 0.1373
hapax_legomena*,-0.349537834392445,0.03312572091817856,0.768 ± 0.1389,0.8066 ± 0.1279
hedge_C_count*,-1.1766408182304253,0.043561045080423355,17.3814 ± 4.4051,20.8471 ± 9.5268
hedge_D_count,0.33755020403475045,0.0,0.0412 ± 0.1999,0.0496 ± 0.2175
hedge_E_count,-0.47370490595061643,0.0,0.0206 ± 0.1428,0.0744 ± 0.2783
hedge_I_count,-0.08633110461044789,0.0,0.0 ± 0.0,0.0165 ± 0.1569
hedge_N_count,-0.32986345071264905,0.0,0.1546 ± 0.507,0.1198 ± 0.4151
hedges_score,-0.3136017358513187,0.031416334211826324,0.1452 ± 0.3415,0.1753 ± 0.3689
joy,0.22459018794034186,0.023566268384456635,0.0899 ± 0.2228,0.0664 ± 0.1736
noun_ratio*,-0.7472768722628407,0.02096966840326786,0.3239 ± 0.0918,0.3593 ± 0.1279
pronoun_ratio,-0.1096562760725344,0.0356452539563179,0.0541 ± 0.0507,0.0445 ± 0.0515
punctuation_density,-0.6182822173895698,0.036207590252161026,0.2782 ± 0.1375,0.3109 ± 0.1645
punctuation_usage,-0.07089794626423805,0.02228277176618576,0.0746 ± 0.0968,0.0807 ± 0.0609
readability_score,0.5124443922506645,0.02833949215710163,8.3738 ± 3.8414,8.5089 ± 3.8744
sadness,0.17396261402415314,0.02162076346576214,0.0667 ± 0.1695,0.1004 ± 0.1739
sentence_count,-0.04709879933350537,0.004717648960649967,2.134 ± 0.8615,2.1942 ± 1.3231
sentence_length_variation*,0.36299926748254985,0.040289636701345444,3.9519 ± 3.1002,3.0208 ± 3.364
sentiment_polarity,-0.18659038175599027,0.050327688455581665,0.0284 ± 0.2872,0.0628 ± 0.2466
sentiment_subjectivity,-0.13016232344311515,0.007197828497737646,0.3313 ± 0.3332,0.3112 ± 0.2814
std_word_length,-0.27389625777352716,0.04239429533481598,3.1187 ± 1.5471,3.2688 ± 0.9298
stopword_ratio,0.12578330396597776,0.017826421186327934,0.2937 ± 0.0994,0.2727 ± 0.1208
subordinate_clause_ratio,0.056036206970756494,0.023639658465981483,0.0449 ± 0.0568,0.048 ± 0.047
surprise*,-0.7365525744764154,0.08144383132457733,0.0102 ± 0.0246,0.0783 ± 0.1506
type_token_ratio*,-0.19642503275640366,0.06074128299951553,0.8635 ± 0.0893,0.8863 ± 0.0813
verb_ratio*,-0.601800577614356,0.01345218438655138,0.1172 ± 0.0633,0.1356 ± 0.0615
word_count*,-0.32104485794654286,0.06684673577547073,23.1031 ± 5.3996,27.2025 ± 11.7951
