text,stance
"Anthem, Cigna Accuse Each Other of Merger Breach - Anthem and Cigna have accused one another of violating the t... https://t.co/IQko9tzXCU",2
The forces pushing CVS to buy Aetna via @axios https://t.co/1xeKN2KGQO,2
"Anthem, Cigna squabbles could threaten proposed merger https://t.co/8Y1sKjqboN",2
"On Dec 14th, The Walt Disney Company ($DIS) announced that it has agreed to buy 21st Century Fox, Inc. ($FOXA), inc… https://t.co/aZAl0rzeqN",2
Health insurer Anthem says Cigna cannot terminate merger agreement | Fox News https://t.co/MsLVZ2vz0z,2
CVS Health has completed its nearly $70 billion acquisition of insurer Aetna  https://t.co/OLFbJWcgci via @WSJ,2
@N_Fatale @bayareahausfrau ILLEGAL IMMIGRATION IS GOOD FOR THE ECONOMY AND GOOD FOR OUR CHILDREN #tcot #SemST,2
"Merger roundup: Aetna-Humana extend deadline, Anthem-Cigna take hit https://t.co/90tu1ScYxS",2
"CEO Mark Bertolini: Aetna, Humana starting early to align cultures https://t.co/t2youlLmhB",2
It is actually the time to fasten our seat belts and get ready for the Tweet Storm to support the schools and teachers,2
Drug pricing lawsuit proceeds against #Cigna as lawmaker calls for a closer look at Express Scripts deal | FierceHe… https://t.co/ao0hHbCWvZ,2
"WHAT SAY YOU, NEW YORK? Now That Federal Antitrust Regulators Have Approved CVS’s Proposed Acquisition of Aetna, At… https://t.co/om2nR09YYf",2
"@realDonaldTrump’s administration has failed in their response to the pandemic. Let’s not let them F up the vaccine, too. #JoeBiden2020 #Vote",2
"Bizarre. Florida granted approval to $AET, $HUM deal in Feb (https://t.co/hFkOsLzXwk), but now one of eight states joining DOJ in suit.",2
", @CVSHealth to acquire Aetna for $69B: 5 things to know via @BeckersHR  https://t.co/J4fErHb7ce https://t.co/M25pOTuhL7",2
@majicmahon @seanhannity @RickSantorum Hillary's brand of  experience we do not need! #SemST,2
CVS Health and Aetna to sell part of their Medicare drug plan businesses to WellCare Health Plans https://t.co/FNBiYBVGGK,2
"CVS has dodged one hurdle in its bid to buy insurer Aetna, as antitrust enforcers don’t see competitive problems th… https://t.co/hZRTQQxIit",2
HEDGE rewind ⏪ Runaway costs prompt Cigna to purchase Express Scrips for $67 billion $CI $ESRX https://t.co/ZOS5ovgyE2 #afp #drugs,2
FOX/DISNEY Deal Moves to Legal Stages - Report https://t.co/ooRsSysfkh,2
"Healthcare from Aetna, Humana, to Epi Pen are having their cover blown. Thanks to Democrats. #UniteBlue @BernieSanders",2
Amazon and Whole Foods. CVS and Aetna. A scorecard of the biggest deals https://t.co/035enyeavO,2
Health insurers slide after Clinton said to criticize proposed mergers $ANTM $CI $AET $HUM: Full Story https://t.co/M4VnIeHdTb,2
"@MarkYoungTruth @chuckwoolery It's amazing how @realDonaldTrump says he didn't rape anyone but won't give his DNA to exonerate himself.

It's amazing how Trump said he would release his tax returns but hasn't. Even more amazing are the @GOP #cowards letting him get away with it.
",2
@JoeBiden Yup and you need to face up and debate Trump #VoterIDNow #DemocratsAreDestroyingAmerica #Trump2020 #WalkAwayFromDemocrats #QuidProJoe #BidenSocialism2020 #BLMTerroristMarxists,2
AMA Releases Analyses on Potential Anthem-Cigna and Aetna-Humana Mergers: Nearly Half of All States Could See ... http://t.co/bm3nRg5mk3,2
$48B @anthem - @cigna deal on track? Anthem set to announce deal for Cigna this week: source http://t.co/C7C0g0tHPi via @Reuters,2
CVS just made a big change after closing its $69 billion Aetna deal. Here’s what that could mean https://t.co/TC7ZBYJjTx,2
"CVS has agreed to buy insurer Aetna for $69 billion sending shares of $AET higher and $CVS lower. Meanwhile, $UPS a… https://t.co/2NWIlyNLl6",2
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? #SemST,2
Calif. regulator clears CVS Health-Aetna merger https://t.co/tXSl2Zy5nP,2
Federal court expected to block Anthem CIGNA merger https://t.co/AW2QHnGZnC,2
CVS agrees to buy Aetna in $69 billion deal that could rein in health-care costs and transform storefronts into com… https://t.co/044anaUwvG,2
CT approval of Aetna-Humana merger draws fire https://t.co/gC0nUEscsB #politics #washington #aetna #anthem #anti-trust #cigna #insurance,2
I'll eat mac and cheese out of your front hole but only if you ask first #SemST,2
"CVS/Aetna: State Regulators Urged to Investigate CVS Caremark Reimbursement Cuts, Solicitation Letters, as Part of… https://t.co/OghOGwMX7e",2
"The world is flat, dinosaurs never  existed and ‘science should not stand in the way’ of schools reopening.",2
"CT signs off on Aetna-Humana merger, but other hurdles remain https://t.co/fGEn9ia87y via @ctmirror",2
CVS expands into insurance with $69 billion Aetna bid - CVS will buy insurance giant Aetna in a $69 billion deal th… https://t.co/b5rgeAE3eT,2
AET/CVS: Connecticut approved the deal Wednesday Oct 17 and New York will reach a decision after Oct.25.,2
"crossed 700 cases yesterday &amp; today over 600
""1 in positive cases not at home""
#WearADamnMask",2
".@CVSHealth expects its roughly $69 billion acquisition of @Aetna to close before Thanksgiving, the company reporte… https://t.co/VVtjXChw0v",2
I truly feel for all the parents who are grappling with whether or not to give their school-aged children up for the greater good and literally risking their lives by....sending them to school this fall. For the record if I had school aged kids I would not be doing it,2
"They just canceled school for the next 3 weeks in Fort Wayne, Indiana. #coronavirus",2
CVS just bought Aetna. Can't wait to get open heart surgery in a Minute Clinic in a few years!!,2
@MoriartyBaron @MarkusFlemming3 Yes but won’t there be a Marshall at the door saying no mask no entry. #NoMaskOnMe #NoToMasks,2
Anthem reveals $54-billion bid for Cigna after merger talks break down http://t.co/4frM4TJnSb,2
"DOJ files motion to get hostile Anthem, Cigna letters https://t.co/2XRHUgABxG",2
"Re: Disney-maybe-buying-most-of-Fox story: “The 2 sides are not currently talking,” but could resume talks anytime… https://t.co/1c8S66z3pF",2
American Hospital Association takes aim at Anthem-Cigna merger https://t.co/bgszE3CTnw,2
