feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
hedge_D_count*,0.03597673303592236,*,0.0251,0.0449,0.0251 ± 0.1564,0.0449 ± 0.2071,0.16957442462444305
hedge_E_count,0.1381897261152056,,0.0567,0.0765,0.0567 ± 0.2426,0.0765 ± 0.2758,0.049633219838142395
doubt_adverbs_count*,1.0713150094311814e-06,*,0.1702,0.2982,0.1702 ± 0.4192,0.2982 ± 0.5845,0.048109021037817
hedges_score*,0.006408075790130839,*,0.1143,0.1607,0.1143 ± 0.3073,0.1607 ± 0.3534,0.02946043759584427
hedge_C_count*,0.00018177287878449913,*,17.3615,18.9274,17.3615 ± 7.4258,18.9274 ± 8.7676,0.02621069736778736
D_ratio*,0.023410155793014413,*,0.0011,0.0022,0.0011 ± 0.0072,0.0022 ± 0.0107,0.026091866195201874
subordinate_clause_ratio*,0.0002111580403451464,*,0.0338,0.0428,0.0338 ± 0.0463,0.0428 ± 0.0474,0.025576839223504066
pronoun_ratio,0.8116841302084825,,0.0298,0.0304,0.0298 ± 0.0446,0.0304 ± 0.0435,0.025499237701296806
C_ratio,0.05315982041258105,,0.9926,0.9902,0.9926 ± 0.0225,0.9902 ± 0.0248,0.02537199668586254
disgust,0.20358997538226972,,0.0071,0.0106,0.0071 ± 0.0448,0.0106 ± 0.0624,0.023689908906817436
surprise*,0.00781802936337699,*,0.091,0.1124,0.091 ± 0.1447,0.1124 ± 0.1671,0.02330787293612957
adv_ratio*,0.0010996896822942084,*,0.0219,0.0281,0.0219 ± 0.0335,0.0281 ± 0.0397,0.02325785718858242
std_word_length,0.11417779261773948,,3.6368,3.5614,3.6368 ± 0.9534,3.5614 ± 0.9037,0.022740952670574188
sentiment_subjectivity,0.5572455862376999,,0.2723,0.2818,0.2723 ± 0.3257,0.2818 ± 0.2997,0.022602658718824387
sentence_length_variation,0.1086382316582463,,2.0974,2.3611,2.0974 ± 2.9707,2.3611 ± 3.4104,0.022050172090530396
adj_ratio,0.3162459651143373,,0.061,0.0584,0.061 ± 0.0516,0.0584 ± 0.0494,0.02166147343814373
type_token_ratio,0.16542126545633082,,0.896,0.9019,0.896 ± 0.0834,0.9019 ± 0.0821,0.020727021619677544
punctuation_usage,0.22618546031981754,,0.0794,0.0832,0.0794 ± 0.0648,0.0832 ± 0.0587,0.02052031271159649
certainty_adjectives_count,0.07992234775008969,,0.277,0.2309,0.277 ± 0.5486,0.2309 ± 0.4747,0.02027120254933834
verb_ratio*,7.669332415851545e-08,*,0.1018,0.1211,0.1018 ± 0.068,0.1211 ± 0.0706,0.020155297592282295
N_ratio,0.6120879401225215,,0.0027,0.0031,0.0027 ± 0.0138,0.0031 ± 0.0144,0.019985882565379143
stopword_ratio,0.08386957614571874,,0.2218,0.2327,0.2218 ± 0.1237,0.2327 ± 0.1224,0.019244369119405746
anger,0.8612924497881728,,0.1431,0.1411,0.1431 ± 0.2219,0.1411 ± 0.2163,0.01909692771732807
joy*,0.010823258146812873,*,0.1061,0.0826,0.1061 ± 0.1912,0.0826 ± 0.1674,0.019075894728302956
word_count*,0.0003342582580821549,*,23.1029,25.0026,23.1029 ± 8.7765,25.0026 ± 11.6014,0.01885399967432022
fear,0.09482768356068129,,0.4132,0.3806,0.4132 ± 0.3772,0.3806 ± 0.3817,0.018675243481993675
noun_ratio,0.29801379397144506,,0.4202,0.4125,0.4202 ± 0.1404,0.4125 ± 0.1474,0.018609382212162018
function_word_ratio*,0.008139298898278408,*,0.2705,0.2895,0.2705 ± 0.1398,0.2895 ± 0.14,0.01858293078839779
doubt_adjectives_count,0.10062415873585533,,0.0937,0.1214,0.0937 ± 0.3092,0.1214 ± 0.3464,0.018445106223225594
avg_word_length,0.8448057432847494,,4.7222,4.7133,4.7222 ± 0.8944,4.7133 ± 0.8786,0.01838027685880661
sadness,0.2755652629258919,,0.0851,0.0949,0.0851 ± 0.1737,0.0949 ± 0.175,0.01831488497555256
sentiment_polarity,0.6991294393195893,,0.0541,0.0493,0.0541 ± 0.2499,0.0493 ± 0.2259,0.016609597951173782
punctuation_density,0.09509993121808066,,0.3751,0.3598,0.3751 ± 0.1853,0.3598 ± 0.1716,0.016224732622504234
certainty_verbs_count,0.2649434904390347,,0.2586,0.2916,0.2586 ± 0.5504,0.2916 ± 0.6001,0.015899967402219772
readability_score,0.09523273928898165,,9.7336,9.3862,9.7336 ± 4.1402,9.3862 ± 3.96,0.015714304521679878
hapax_legomena,0.3672448669613573,,0.8231,0.8291,0.8231 ± 0.1291,0.8291 ± 0.132,0.01502188015729189
certainty_adverbs_count,0.5262666661551296,,0.1135,0.1253,0.1135 ± 0.3675,0.1253 ± 0.3618,0.01345576997846365
doubt_verbs_count,0.7124856182505583,,0.0211,0.0185,0.0211 ± 0.1438,0.0185 ± 0.1347,0.013356559909880161
E_ratio,0.4114848786725218,,0.0035,0.0042,0.0035 ± 0.0164,0.0042 ± 0.0165,0.010518825612962246
sentence_count*,0.003726652321719827,*,1.6834,1.8496,1.6834 ± 1.0072,1.8496 ± 1.2114,0.00942093413323164
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
hedge_I_count,0.13327728752510432,,0.0013,0.0092,0.0013 ± 0.0363,0.0092 ± 0.1405,
hedge_N_count,0.4015746705648908,,0.062,0.0765,0.062 ± 0.3212,0.0765 ± 0.3516,
I_ratio,0.18971935931547473,,0.0001,0.0003,0.0001 ± 0.0016,0.0003 ± 0.0046,
