feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
sentence_count*,0.049659848504471,*,1.4334,1.582,1.4334 ± 0.7627,1.582 ± 1.1237,0.08232155442237854
word_count,0.10795484162051938,,21.4706,22.6161,21.4706 ± 5.6658,22.6161 ± 11.4662,0.07761882245540619
certainty_verbs_count*,0.024518782677341647,*,0.1207,0.195,0.1207 ± 0.3709,0.195 ± 0.4619,0.047053005546331406
pronoun_ratio,0.3388498534713067,,0.0175,0.0201,0.0175 ± 0.0323,0.0201 ± 0.0371,0.04578801617026329
sentiment_polarity,0.2663914396174781,,0.0492,0.0299,0.0492 ± 0.2415,0.0299 ± 0.1967,0.04080275446176529
hedges_score,0.16231771040372203,,0.109,0.1444,0.109 ± 0.3035,0.1444 ± 0.3387,0.04019024223089218
disgust,0.5926465428081616,,0.0101,0.0076,0.0101 ± 0.0654,0.0076 ± 0.0531,0.03825893998146057
surprise*,0.039420035086030085,*,0.1457,0.1193,0.1457 ± 0.1683,0.1193 ± 0.1575,0.036019522696733475
fear,0.13312940501113357,,0.3091,0.3527,0.3091 ± 0.3564,0.3527 ± 0.3803,0.03530869632959366
std_word_length*,0.0030892263097209733,*,3.9769,3.777,3.9769 ± 0.8858,3.777 ± 0.8245,0.033048879355192184
subordinate_clause_ratio*,0.0007910564427015615,*,0.0263,0.0384,0.0263 ± 0.0439,0.0384 ± 0.047,0.032678015530109406
hedge_C_count*,0.009580385244013074,*,15.483,16.7307,15.483 ± 4.5413,16.7307 ± 7.3382,0.032207585871219635
verb_ratio*,5.6723772937080645e-09,*,0.0805,0.1131,0.0805 ± 0.0666,0.1131 ± 0.0735,0.0314718633890152
noun_ratio,0.2868380629703896,,0.4686,0.4568,0.4686 ± 0.1299,0.4568 ± 0.1498,0.02988896332681179
anger*,0.0018377083400626494,*,0.0858,0.131,0.0858 ± 0.155,0.131 ± 0.2082,0.029718739911913872
readability_score,0.5703153398053953,,10.1176,9.938,10.1176 ± 4.1343,9.938 ± 3.9033,0.027980724349617958
type_token_ratio,0.06477188811147729,,0.9009,0.9132,0.9009 ± 0.0831,0.9132 ± 0.0846,0.027602698653936386
punctuation_usage,0.1409051686360761,,0.0908,0.084,0.0908 ± 0.0613,0.084 ± 0.0569,0.026018179953098297
function_word_ratio,0.2634011827104373,,0.2311,0.2432,0.2311 ± 0.1405,0.2432 ± 0.1332,0.025729868561029434
sadness,0.12102837451889242,,0.0787,0.0984,0.0787 ± 0.1423,0.0984 ± 0.1787,0.02549552731215954
certainty_adjectives_count*,0.006852037923634493,*,0.2198,0.13,0.2198 ± 0.4774,0.13 ± 0.3548,0.023141779005527496
sentence_length_variation*,0.03529475289027562,*,1.1852,1.6253,1.1852 ± 2.2708,1.6253 ± 2.9837,0.022997593507170677
hapax_legomena,0.12996998097923615,,0.832,0.8478,0.832 ± 0.1281,0.8478 ± 0.1352,0.022870788350701332
joy*,0.003726101986774046,*,0.1149,0.0775,0.1149 ± 0.1852,0.0775 ± 0.1376,0.022287169471383095
stopword_ratio,0.32674729344476094,,0.1845,0.1937,0.1845 ± 0.1189,0.1937 ± 0.119,0.022107688710093498
avg_word_length,0.4430681611766649,,4.9093,4.9631,4.9093 ± 0.8806,4.9631 ± 0.903,0.020189931616187096
punctuation_density*,0.00047509801442848187,*,0.4542,0.4071,0.4542 ± 0.1728,0.4071 ± 0.1681,0.019539272412657738
adj_ratio,0.1096903119415566,,0.0605,0.054,0.0605 ± 0.0524,0.054 ± 0.0503,0.018633605912327766
doubt_adverbs_count*,0.007699032525573119,*,0.1238,0.2136,0.1238 ± 0.3482,0.2136 ± 0.493,0.018198486417531967
sentiment_subjectivity,0.9475759162040934,,0.2369,0.2353,0.2369 ± 0.3278,0.2353 ± 0.3094,0.017844434827566147
N_ratio,0.0843130721091556,,0.0031,0.0014,0.0031 ± 0.0149,0.0014 ± 0.0094,0.016257137060165405
adv_ratio,0.18698545101843841,,0.0169,0.0202,0.0169 ± 0.0312,0.0202 ± 0.0332,0.010729433968663216
certainty_adverbs_count,0.7985068484988299,,0.0836,0.0898,0.0836 ± 0.3189,0.0898 ± 0.297,
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
doubt_adjectives_count,0.10530761725875218,,0.0712,0.1084,0.0712 ± 0.2576,0.1084 ± 0.3211,
doubt_verbs_count,0.1617324157659129,,0.0279,0.0124,0.0279 ± 0.1648,0.0124 ± 0.1108,
hedge_D_count*,0.03614412387115034,*,0.0155,0.0433,0.0155 ± 0.1236,0.0433 ± 0.2039,
hedge_E_count,0.15591689400284336,,0.0526,0.0805,0.0526 ± 0.2236,0.0805 ± 0.2725,
hedge_N_count,0.30018803793476656,,0.0588,0.0372,0.0588 ± 0.2835,0.0372 ± 0.2464,
hedge_I_count,0.527313735095598,,0.0031,0.0093,0.0031 ± 0.0556,0.0093 ± 0.1669,
C_ratio,0.6007076563529785,,0.9922,0.9913,0.9922 ± 0.0231,0.9913 ± 0.0234,
D_ratio,0.0573883306791289,,0.0008,0.0022,0.0008 ± 0.0068,0.0022 ± 0.0115,
E_ratio,0.38575523335803674,,0.0037,0.0049,0.0037 ± 0.0167,0.0049 ± 0.0182,
I_ratio,0.8236259825983189,,0.0001,0.0002,0.0001 ± 0.0024,0.0002 ± 0.0033,
