index,confidence_score,actual_outcome
0,0.5044642857142857,Correct
1,0.38387155628534936,Correct
2,0.4482355442176871,Correct
3,0.46049317062248096,Correct
4,0.4728084415584416,Correct
5,0.5710227272727273,Correct
6,0.6026785714285715,Correct
7,0.3898305084745763,Correct
8,0.6960227272727273,Correct
9,0.6960227272727273,Correct
10,0.6960227272727273,Correct
11,0.6116071428571428,Correct
12,0.5710227272727273,Correct
13,0.4325728549866481,Correct
14,0.5486442835580766,Correct
15,0.5710227272727273,Correct
16,0.4728084415584416,Correct
17,0.5765645991939096,Correct
18,0.4482355442176871,Correct
19,0.6960227272727273,Correct
20,0.4378638602776534,Correct
21,0.5654761904761905,Correct
22,0.6960227272727273,Correct
23,0.4255485893416928,Correct
24,0.5710227272727273,Correct
25,0.39799317062248096,Correct
26,0.5978084415584416,Correct
27,0.7276785714285715,Correct
28,0.35750671742051054,Correct
29,0.6294642857142857,Correct
30,0.4990079365079365,Correct
31,0.4642286991424922,Correct
32,0.6960227272727273,Correct
33,0.460327826707137,Correct
34,0.4482355442176871,Correct
35,0.5710227272727273,Correct
36,0.6960227272727273,Correct
37,0.46751743626743625,Correct
38,0.4811507936507936,Correct
39,0.6294642857142857,Correct
40,0.6960227272727273,Correct
41,0.43667328042328046,Correct
42,0.3947044334975369,Correct
43,0.4741265280058383,Correct
44,0.4990079365079365,Correct
45,0.5112896222318715,Correct
46,0.4482355442176871,Correct
47,0.4255485893416928,Correct
48,0.4728084415584416,Correct
49,0.5491071428571429,Correct
50,0.4378638602776534,Misclassified
51,0.6026785714285715,Correct
52,0.7212643678160919,Correct
53,0.5765645991939096,Correct
54,0.3947044334975369,Correct
55,0.6960227272727273,Correct
56,0.4728084415584416,Correct
57,0.7276785714285715,Correct
58,0.42000671742051054,Correct
59,0.536078145991939,Correct
60,0.5710227272727273,Correct
61,0.42782738095238093,Correct
62,0.5677339901477833,Correct
63,0.4728084415584416,Correct
64,0.7276785714285715,Correct
65,0.510006157635468,Correct
66,0.5978084415584416,Correct
67,0.5573770491803278,Misclassified
68,0.5845496563887368,Correct
69,0.6026785714285715,Correct
70,0.5486442835580766,Correct
71,0.5396286231884058,Correct
72,0.4549512987012987,Correct
73,0.5044642857142857,Correct
74,0.4482355442176871,Misclassified
75,0.3891625615763547,Correct
76,0.6960227272727273,Correct
77,0.5170304232804233,Correct
78,0.5710227272727273,Correct
79,0.6960227272727273,Correct
80,0.4750615763546798,Correct
81,0.5978084415584416,Correct
82,0.5710227272727273,Correct
83,0.4482355442176871,Correct
84,0.4378638602776534,Correct
85,0.46049317062248096,Correct
86,0.42000671742051054,Correct
87,0.5978084415584416,Correct
88,0.5174512987012987,Correct
89,0.6960227272727273,Correct
90,0.4241071428571429,Correct
91,0.3947044334975369,Correct
92,0.5732758620689655,Correct
93,0.4325728549866481,Correct
94,0.6304112554112554,Correct
95,0.3947044334975369,Correct
96,0.5710227272727273,Correct
97,0.46735209235209235,Correct
98,0.6960227272727273,Correct
99,0.4728084415584416,Correct
100,0.4820858419996351,Correct
101,0.4820858419996351,Correct
102,0.47835031347962387,Correct
103,0.4434057321988356,Correct
104,0.4750615763546798,Correct
105,0.536078145991939,Correct
106,0.536078145991939,Correct
107,0.5978084415584416,Correct
108,0.46751743626743625,Correct
109,0.40501743626743625,Correct
110,0.4642286991424922,Correct
111,0.5677339901477833,Correct
112,0.5710227272727273,Correct
113,0.3924512987012987,Correct
114,0.4750615763546798,Correct
115,0.4482355442176871,Correct
116,0.6960227272727273,Correct
117,0.7276785714285715,Correct
118,0.43667328042328046,Correct
119,0.46951970443349755,Correct
120,0.6026785714285715,Correct
121,0.4296490147783252,Correct
122,0.5710227272727273,Correct
123,0.46049317062248096,Correct
124,0.5573770491803278,Correct
125,0.4572044334975369,Correct
126,0.4811507936507936,Correct
127,0.5710227272727273,Correct
128,0.47835031347962387,Correct
129,0.5765645991939096,Correct
130,0.4991732804232804,Correct
131,0.6294642857142857,Correct
132,0.6294642857142857,Correct
133,0.5710227272727273,Correct
134,0.5044642857142857,Correct
135,0.6960227272727273,Correct
136,0.4728084415584416,Correct
137,0.44431089743589747,Correct
138,0.6304112554112554,Correct
139,0.4728084415584416,Correct
140,0.5978084415584416,Correct
141,0.5978084415584416,Correct
142,0.45042999784379095,Correct
143,0.4325728549866481,Correct
144,0.6026785714285715,Correct
145,0.4482355442176871,Correct
146,0.47113375130616514,Correct
147,0.4919836708629812,Correct
148,0.4494949494949495,Correct
149,0.536078145991939,Correct
150,0.6927339901477833,Correct
151,0.5978084415584416,Correct
152,0.4434057321988356,Correct
153,0.4728084415584416,Correct
154,0.4241071428571429,Correct
155,0.510006157635468,Correct
156,0.44431089743589747,Correct
157,0.7276785714285715,Correct
158,0.4482355442176871,Correct
159,0.5835888648388649,Correct
160,0.6960227272727273,Correct
161,0.31434729064039413,Correct
162,0.4728084415584416,Correct
163,0.46751743626743625,Correct
164,0.5710227272727273,Correct
165,0.5710227272727273,Correct
166,0.5710227272727273,Correct
167,0.4728084415584416,Correct
168,0.4549512987012987,Correct
169,0.46751743626743625,Correct
170,0.4990079365079365,Correct
171,0.47835031347962387,Correct
172,0.5710227272727273,Correct
173,0.40501743626743625,Correct
174,0.4241071428571429,Correct
175,0.46735209235209235,Correct
176,0.6960227272727273,Correct
177,0.6960227272727273,Correct
178,0.4482355442176871,Correct
179,0.4482355442176871,Correct
180,0.4116265280058383,Correct
181,0.4482355442176871,Correct
182,0.6960227272727273,Correct
183,0.3700728549866481,Correct
184,0.44431089743589747,Correct
185,0.4750615763546798,Correct
186,0.4482355442176871,Correct
187,0.49942881192881194,Correct
188,0.3891625615763547,Correct
189,0.46951970443349755,Correct
190,0.6960227272727273,Correct
191,0.510006157635468,Correct
192,0.4728084415584416,Correct
193,0.6927339901477833,Correct
194,0.41865079365079366,Correct
195,0.7276785714285715,Correct
196,0.3799706838499942,Correct
197,0.3924512987012987,Correct
