feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio*,-0.42991083454171275,0.04552045837044716,0.9845 ± 0.0331,0.9913 ± 0.0234
D_ratio,0.12583609130305745,0.0,0.0025 ± 0.0123,0.0022 ± 0.0115
E_ratio,0.2508234250519862,0.050274256616830826,0.0064 ± 0.0211,0.0049 ± 0.0182
I_ratio,0.32198982524689784,0.0,0.0001 ± 0.0025,0.0002 ± 0.0033
N_ratio*,0.27952095358241835,0.0,0.0065 ± 0.0234,0.0014 ± 0.0094
adj_ratio*,0.3821719683953455,0.025501511991024017,0.0649 ± 0.0499,0.054 ± 0.0503
adv_ratio*,0.12988175736955582,0.012162882834672928,0.034 ± 0.0459,0.0202 ± 0.0332
anger*,-0.2127206930010802,0.023616869002580643,0.0845 ± 0.1795,0.131 ± 0.2082
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-1.3519734767366407,0.03778442367911339,4.5179 ± 0.6763,4.9631 ± 0.903
certainty_adjectives_count*,0.24198947582061237,0.006620857864618301,0.2972 ± 0.5388,0.13 ± 0.3548
certainty_adverbs_count*,0.08890730031580243,0.05440531671047211,0.226 ± 0.4745,0.0898 ± 0.297
certainty_verbs_count*,0.4161910232229029,0.02139902673661709,0.2972 ± 0.533,0.195 ± 0.4619
disgust,0.1735902936772364,0.021361904218792915,0.0146 ± 0.0787,0.0076 ± 0.0531
doubt_adjectives_count,-0.09172496874813722,0.031140726059675217,0.1115 ± 0.3249,0.1084 ± 0.3211
doubt_adverbs_count*,0.07350203694153562,0.012720317579805851,0.3375 ± 0.5352,0.2136 ± 0.493
doubt_verbs_count,-0.07532540018598533,0.0,0.0279 ± 0.1648,0.0124 ± 0.1108
fear*,-0.5152910794726573,0.07077371329069138,0.1623 ± 0.2613,0.3527 ± 0.3803
function_word_ratio*,0.9791965877425751,0.04760751128196716,0.3317 ± 0.1315,0.2432 ± 0.1332
hapax_legomena,0.5411593704446251,0.024262769147753716,0.8565 ± 0.1075,0.8478 ± 0.1352
hedge_C_count*,0.15081494433951428,0.017629174515604973,17.7709 ± 4.7178,16.7307 ± 7.3382
hedge_D_count,-0.2560305281844377,0.0,0.0433 ± 0.2039,0.0433 ± 0.2039
hedge_E_count,-0.3140776010196864,0.0,0.1084 ± 0.3489,0.0805 ± 0.2725
hedge_I_count,-0.4749464524279639,0.0,0.0031 ± 0.0556,0.0093 ± 0.1669
hedge_N_count*,-0.08191797432812974,0.05879436805844307,0.1331 ± 0.4835,0.0372 ± 0.2464
hedges_score*,-0.1223938208990312,0.04686330258846283,0.2137 ± 0.3968,0.1444 ± 0.3387
joy*,0.29861545761246705,0.022138413041830063,0.1631 ± 0.2279,0.0775 ± 0.1376
noun_ratio*,0.590303736399891,0.02121351845562458,0.4172 ± 0.1294,0.4568 ± 0.1498
pronoun_ratio*,-0.07111360210904348,0.02410728670656681,0.0312 ± 0.04,0.0201 ± 0.0371
punctuation_density*,0.034226344246977236,0.017352862283587456,0.3509 ± 0.1643,0.4071 ± 0.1681
punctuation_usage,0.2567211516818677,0.015349327586591244,0.0846 ± 0.069,0.084 ± 0.0569
readability_score*,0.21343345858322085,0.010640694759786129,8.5471 ± 3.5013,9.938 ± 3.9033
sadness,0.0256850533012133,0.01826775074005127,0.1029 ± 0.1866,0.0984 ± 0.1787
sentence_count,-0.2690313610377459,0.01717177778482437,1.5449 ± 0.8116,1.582 ± 1.1237
sentence_length_variation,-0.030397503394331435,0.010667163878679276,1.6373 ± 2.5446,1.6253 ± 2.9837
sentiment_polarity*,0.05253552055588077,0.03394535183906555,0.0915 ± 0.2633,0.0299 ± 0.1967
sentiment_subjectivity*,0.17207965530264877,0.021445220336318016,0.3274 ± 0.3356,0.2353 ± 0.3094
std_word_length*,0.7112402718509919,0.013684673234820366,3.4643 ± 0.8007,3.777 ± 0.8245
stopword_ratio*,0.20993423219392146,0.0246527511626482,0.2578 ± 0.1173,0.1937 ± 0.119
subordinate_clause_ratio*,0.02358993512425655,0.007586056366562843,0.0475 ± 0.0569,0.0384 ± 0.047
surprise*,-0.12262428396390436,0.043322645127773285,0.1875 ± 0.2111,0.1193 ± 0.1575
type_token_ratio,-0.474202943853568,0.03760511428117752,0.9206 ± 0.0653,0.9132 ± 0.0846
verb_ratio,-0.2210825941802847,0.023613715544342995,0.1117 ± 0.0707,0.1131 ± 0.0735
word_count,-0.4700019188831254,0.028796257451176643,23.0681 ± 5.3489,22.6161 ± 11.4662
