feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,0.03346724793621676,0.03039427101612091,0.9903 ± 0.0247,0.9915 ± 0.0221
D_ratio,0.17344686798728187,0.0,0.002 ± 0.0117,0.0019 ± 0.0095
E_ratio*,-0.11011795726475919,0.042165957391262054,0.0077 ± 0.0225,0.0033 ± 0.0132
I_ratio,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0
N_ratio*,-0.04747322653000207,0.0,0.0 ± 0.0,0.0033 ± 0.0147
adj_ratio*,-0.3786157588612265,0.023404810577630997,0.0398 ± 0.0427,0.0607 ± 0.0478
adv_ratio*,-0.06867948727194145,0.0247100330889225,0.0152 ± 0.0323,0.0292 ± 0.0365
anger*,-0.5703815888610022,0.014175919815897942,0.0533 ± 0.0963,0.1271 ± 0.2332
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.04138276488392335,0.007762495893985033,5.1357 ± 0.8861,4.6443 ± 0.8124
certainty_adjectives_count*,0.09662572733433593,0.0,0.084 ± 0.3729,0.2746 ± 0.5023
certainty_adverbs_count*,-0.9580882894447545,0.0,0.0 ± 0.0,0.1347 ± 0.3715
certainty_verbs_count*,-1.4318099394154438,0.0755474641919136,0.0 ± 0.0,0.3212 ± 0.6538
disgust,-0.34157509942449926,0.03275047242641449,0.002 ± 0.0024,0.0182 ± 0.098
doubt_adjectives_count*,-0.1122886081788594,0.0,0.0763 ± 0.2666,0.1606 ± 0.4084
doubt_adverbs_count*,-0.8522245972439814,0.04076205566525459,0.1069 ± 0.3101,0.3679 ± 0.6804
doubt_verbs_count,0.002967474328999576,0.0,0.0076 ± 0.0874,0.0155 ± 0.124
fear*,0.050294921971678,0.020957475528120995,0.2272 ± 0.3256,0.3401 ± 0.3807
function_word_ratio*,-0.887901523889306,0.15520453453063965,0.1666 ± 0.0966,0.3074 ± 0.1308
hapax_legomena,-0.8176415950678081,0.005462206434458494,0.8537 ± 0.1407,0.8263 ± 0.1275
hedge_C_count*,0.18970484195578097,0.01451239362359047,13.5725 ± 4.2063,20.1969 ± 9.1903
hedge_D_count,0.16326303863601122,0.0,0.0305 ± 0.1727,0.0415 ± 0.1998
hedge_E_count,0.47552146581017385,0.0,0.1145 ± 0.3196,0.0725 ± 0.2794
hedge_I_count,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0
hedge_N_count*,-0.03928206939723077,0.0,0.0 ± 0.0,0.0881 ± 0.4051
hedges_score,0.1617222706383999,0.006714737042784691,0.1493 ± 0.3436,0.1698 ± 0.3583
joy*,0.059374931706586115,0.04188965633511543,0.1877 ± 0.1625,0.1112 ± 0.1993
noun_ratio*,-0.536916471609606,0.014866718091070652,0.5199 ± 0.1206,0.4052 ± 0.1433
pronoun_ratio*,-0.6973808525643216,0.12816402316093445,0.0035 ± 0.0136,0.0297 ± 0.0373
punctuation_density*,0.02626983827659193,0.025465022772550583,0.4875 ± 0.1453,0.3419 ± 0.1662
punctuation_usage,-0.17052520518696332,0.0172088872641325,0.0876 ± 0.0528,0.0851 ± 0.0591
readability_score*,-0.23946203505291663,0.009354040957987309,10.5237 ± 3.7638,9.5627 ± 3.99
sadness,-0.08169629839429307,0.02534504607319832,0.0721 ± 0.1524,0.0821 ± 0.1702
sentence_count*,-0.9347315125915975,0.03601799160242081,1.1298 ± 0.3594,1.8653 ± 1.0957
sentence_length_variation*,0.18748914028041355,0.0,0.6006 ± 1.8013,2.7655 ± 3.8857
sentiment_polarity,-0.008923272269292482,0.01317442674189806,0.0418 ± 0.1439,0.065 ± 0.2426
sentiment_subjectivity*,0.11044850734163904,0.025723053142428398,0.1799 ± 0.3126,0.3226 ± 0.2965
std_word_length*,0.026623451202356346,0.021505849435925484,4.0597 ± 0.6501,3.5676 ± 0.8992
stopword_ratio*,-0.6156941972802689,0.0223246943205595,0.1281 ± 0.0831,0.2479 ± 0.1104
subordinate_clause_ratio*,-0.24378818908992786,0.050393570214509964,0.0211 ± 0.0339,0.0434 ± 0.048
surprise*,0.19234075850444232,0.014476909302175045,0.2017 ± 0.1694,0.1437 ± 0.1934
type_token_ratio*,0.701190559544229,0.004363554064184427,0.9201 ± 0.0775,0.9025 ± 0.0757
verb_ratio*,0.135679268818188,0.010819470509886742,0.0731 ± 0.0614,0.116 ± 0.0737
word_count*,-0.9334291066060079,0.04438217356801033,18.5649 ± 5.2523,26.2383 ± 10.8774
