feature,mi_score
noun_ratio,0.14989414981391413
word_count,0.09339946278302347
hedge_C_count,0.09308582934467458
punctuation_density,0.08815097275644757
sentence_count,0.07859901715476547
function_word_ratio,0.07628441987594026
stopword_ratio,0.07445814525613637
pronoun_ratio,0.06744675122654797
verb_ratio,0.060807432463948485
disgust,0.06001613436197806
sentiment_polarity,0.058958153963377
punctuation_usage,0.056359870237848275
hedge_N_count,0.05275707936976226
doubt_adjectives_count,0.050889465766417175
N_ratio,0.04486964948446581
sentence_length_variation,0.04439749044553887
type_token_ratio,0.043163661552860555
hapax_legomena,0.03888918991897139
I_ratio,0.0379593901259998
hedges_score,0.03770674012098785
readability_score,0.03234676474805909
sadness,0.026889282619973587
fear,0.025575064916336654
surprise,0.025570382257737334
certainty_verbs_count,0.023776691903415026
std_word_length,0.014136582135275466
hedge_D_count,0.008899357233294047
hedge_E_count,0.008658047017890524
certainty_adverbs_count,0.007464305906822455
adj_ratio,0.00176419605020528
certainty_adjectives_count,0.0012964919993712076
avg_word_length,0.0
adv_ratio,0.0
avg_dependency_depth,0.0
joy,0.0
subordinate_clause_ratio,0.0
anger,0.0
sentiment_subjectivity,0.0
doubt_adverbs_count,0.0
doubt_verbs_count,0.0
C_ratio,0.0
hedge_I_count,0.0
E_ratio,0.0
D_ratio,0.0
