feature,mean_mi_score,std_mi_score,median_mi_score,min_mi_score,max_mi_score,num_iterations,cv_mi_score,median_lr_coef,median_xgb_coef,linear_occurrences,_merge,mi_rank
fear,0.0576653645028236,0.0358462674759894,0.0573764426310998,0.0025078704357064,0.1122301887974488,13,0.6216256115789269,,0.0376321002840995,13,both,1
joy,0.048467060180409,0.0214919783012726,0.0519380032923513,0.0182294813725683,0.0854230972019647,13,0.443434741477469,,0.0277544092386961,13,both,2
word_count,0.0464430963701053,0.0205407927834556,0.0379828201137963,0.0176000652313581,0.0866949272991588,13,0.4422787106993449,,0.0383182317018508,13,both,3
surprise,0.0424656290563174,0.0225832331637709,0.0495937036486562,0.0019548503376596,0.0880946228571206,13,0.5318002739067232,,0.0322386361658573,13,both,4
hedge_C_count,0.0351290095938641,0.0257509434478205,0.0250610221590137,0.0,0.0754326963419005,13,0.7330392671337458,,0.0254587959498167,13,both,5
sentiment_polarity,0.0282576251089734,0.0174359507950967,0.0281166837258515,0.0,0.0587988069002347,13,0.6170352507635122,,0.0408027544617652,13,both,6
std_word_length,0.0246836091036658,0.010793389452253,0.024934109738516,0.0,0.0375185441077245,13,0.4372695016730782,,0.0224439222365617,13,both,7
avg_word_length,0.0237973830698509,0.0187704637389729,0.0200670033327909,0.0,0.0560178010682022,13,0.7887616753437666,,0.023431459441781,13,both,8
function_word_ratio,0.0223752287136139,0.0252452030579308,0.0102931403879749,0.0,0.0673693162176263,13,1.1282656986907458,,0.0268954820930957,13,both,9
readability_score,0.0222428522681649,0.020763770618021,0.014246596099845,0.0,0.0665620182886965,13,0.9335030583168122,,0.021823639050126,13,both,10
verb_ratio,0.0212260953701714,0.0211122564311131,0.0142942197319946,0.0,0.0729757793784238,13,0.9946368403103368,,0.0319149196147918,13,both,11
noun_ratio,0.020949889361286,0.0156298520408752,0.0147314204430284,0.0010620424354155,0.0488129353160777,13,0.7460589300179354,,0.0226353202015161,13,both,12
stopword_ratio,0.0196223434994043,0.0195819805651377,0.0141539685691369,0.0,0.0550320444287975,13,0.9979430115333684,,0.0221076887100934,13,both,13
punctuation_density,0.0194299150654187,0.0149279672138223,0.0152293425587779,0.0,0.048437445365687,13,0.768298119861114,,0.0206990893930196,13,both,14
adj_ratio,0.0186089978994009,0.0135928252313843,0.0213880028223845,0.0,0.0449173351171967,13,0.7304436974449867,,0.0246313773095607,13,both,15
sentiment_subjectivity,0.0186005579272937,0.0165087632347055,0.0134090229655592,0.0,0.0468291861913132,13,0.8875412930749341,,0.0230686478316783,13,both,16
subordinate_clause_ratio,0.017305931977731,0.0130244053100539,0.0131177104667705,0.0,0.0363406140529962,13,0.7525977408679017,,0.0212105512619018,13,both,17
disgust,0.0166720605298668,0.0136630868904664,0.0131604292019191,0.0,0.0392047466968656,13,0.8195199907048077,,0.0250381585210561,13,both,18
hedges_score,0.0158989876835962,0.015741838917741,0.006924263719463,0.0,0.0442931615488992,13,0.9901158005162004,,0.0319811441004276,13,both,19
C_ratio,0.0151634000956823,0.0144725751109053,0.0128911069290671,0.0,0.0435380481610927,13,0.954441287546473,,0.0257676057517528,13,both,20
certainty_adverbs_count,0.0151384929277552,0.0133747195795641,0.0152618169167866,0.0,0.0437484597029653,13,0.8834908232537918,,0.0190705209970474,13,both,21
