feature,mean_mi_score,std_mi_score,median_mi_score,min_mi_score,max_mi_score,num_iterations,cv_mi_score,median_lr_coef,median_xgb_coef,linear_occurrences,_merge,mi_rank
joy,0.0260472407259605,0.0109637530004827,0.0277449206721749,0.0070576153171961,0.0447788491078078,13,0.4209180202936251,,0.025739662349224,13,both,1
std_word_length,0.0242410063241379,0.0079391358562767,0.0246712035595477,0.0076226430907362,0.0345483550057468,13,0.327508509758994,,0.0223380047827959,13,both,2
readability_score,0.0218710209641672,0.0197726796465453,0.022595404082228,0.0,0.0664879792061936,13,0.9040583738153,,0.0236331522464752,13,both,3
anger,0.0208438304665664,0.010268227588429,0.019019893454945,0.0039685807938534,0.039761158475885,13,0.4926267081714813,,0.0236345697194337,13,both,4
sentiment_subjectivity,0.0205751633194868,0.0071547950883287,0.0224982743040693,0.0022709589259739,0.0291209181592617,13,0.3477394068387505,,0.0229975562542676,13,both,5
word_count,0.0196607732103513,0.011881971860661,0.0186432968855245,0.0,0.0359909384993324,13,0.6043491643759553,,0.0270579103380441,13,both,6
punctuation_density,0.0174510291153037,0.0088129725901582,0.014317433898334,0.0085030252935907,0.0340557953163125,13,0.5050116260725066,,0.0269883163273334,13,both,7
noun_ratio,0.0161202902982371,0.0098457363102142,0.0166943634268998,0.0,0.0316425357595813,13,0.6107666876998435,,0.0248932167887687,13,both,8
fear,0.0151242252234952,0.0115357381653946,0.0122230125455069,0.0,0.0372829855690339,13,0.7627325033135677,,0.0245689284056425,13,both,9
sentence_count,0.0131484029626729,0.0114164064982246,0.0163268707090034,0.0,0.0375704392919071,13,0.8682732443350516,,0.0272525195032358,13,both,10
stopword_ratio,0.0130770457444462,0.011886151429989,0.012903994275383,0.0,0.0389963947732479,13,0.9089324655025456,,0.0244430638849735,13,both,11
verb_ratio,0.0130206221430909,0.0089391428614582,0.0164916628394997,0.0,0.0245732798946967,13,0.6865373069904759,,0.0270899217575788,13,both,12
type_token_ratio,0.0121926722945389,0.0086439813637192,0.0120403038557843,0.0,0.0262623674433362,13,0.7089488796964447,,0.024192364886403,13,both,13
disgust,0.0111007516365029,0.0119007928102355,0.0087087809306949,0.0,0.0378319997795555,13,1.0720709011362628,,0.0236899089068174,13,both,14
hedge_C_count,0.0109629013379782,0.0085318212156081,0.011884335068161,0.0,0.0271020936691657,13,0.7782448233892043,,0.0221878234297037,13,both,15
pronoun_ratio,0.0107298190443899,0.0104182121797995,0.0080817106593551,0.0,0.0393572498763721,13,0.970958795921792,,0.0266305580735206,13,both,16
sentiment_polarity,0.0104356024391446,0.0105903192686721,0.0098742911710882,0.0,0.0299167947379257,13,1.014825864671418,,0.0304906144738197,13,both,17
certainty_verbs_count,0.0103362134546412,0.0115313769153139,0.0079719958519013,0.0,0.0374447355834544,13,1.1156287518555432,,0.022892652079463,13,both,18
surprise,0.009448994214306,0.0115426967610571,0.0019059783763204,0.0,0.0332301438586772,13,1.221579408269835,,0.0239271055907011,13,both,19
sadness,0.009194908514115,0.0095150553776678,0.0065240590666799,0.0,0.0342357827331372,13,1.0348178410977564,,0.023527193814516,13,both,20
I_ratio,0.0083513381617407,0.0101889346229981,0.0,0.0,0.0247711423591614,13,1.2200361697333453,,,13,both,21
hapax_legomena,0.0077173587133304,0.0071671608346548,0.0059764154669841,0.0,0.0217265230624081,13,0.9287064526720492,,0.0222922824323177,13,both,22
hedge_D_count,0.0073273425835768,0.0077110959194744,0.0051300771453817,0.0,0.0227560931310517,13,1.052372784747053,,0.0533909425139427,13,both,23
sentence_length_variation,0.0072897274050156,0.0078285170664279,0.0047471455120671,0.0,0.0197435993475658,13,1.073910810580048,,0.024685688316822,13,both,24
hedges_score,0.0068981759164876,0.0076765961523007,0.001228672834618,0.0,0.0210245918348197,13,1.1128443584560537,,0.0310590546578168,13,both,25
adj_ratio,0.0064489067240787,0.0069714490187697,0.0016871407209149,0.0,0.0186066941592679,13,1.081028043519367,,0.02357086725533,13,both,26
C_ratio,0.0064159580715163,0.0057172713505479,0.0077143505150136,0.0,0.0178038127841668,13,0.8911017320904445,,0.0258322264999151,13,both,27
hedge_I_count,0.0060311251390809,0.0067146091841418,0.0051987886414277,0.0,0.0205213235397516,13,1.1133261256066445,,,13,both,28
avg_word_length,0.0059890886005952,0.0079023659763707,0.0021261878947906,0.0,0.0235847216674485,13,1.3194605228557357,,0.0226653702557086,13,both,29
D_ratio,0.0058584422970062,0.0072331288847559,0.0027902473401824,0.0,0.0221787478385113,13,1.234650529621525,,0.0320381028577685,13,both,30
adv_ratio,0.0058289120186346,0.0078306049880438,0.0022072708692317,0.0,0.0256550930084633,13,1.3434076484616515,,0.0228784624487161,13,both,31
doubt_adverbs_count,0.0058125981963017,0.0042137920959292,0.0068477919650091,0.0,0.011528775925347,13,0.7249412317215174,,0.0299435146152973,13,both,32
subordinate_clause_ratio,0.0056610032703356,0.0066504564583877,0.0013427799107383,0.0,0.0208590998558182,13,1.1747840693251066,,0.025576839223504,13,both,33
certainty_adverbs_count,0.0053603512503974,0.0072262389648775,0.0,0.0,0.0226996921351416,13,1.3480905685689455,,0.0186091363430023,13,both,34
doubt_adjectives_count,0.0049479290887847,0.0049857233528312,0.0044317165715799,0.0,0.0146864918353768,13,1.0076384005041925,,0.0258517116308212,13,both,35
function_word_ratio,0.0044336898889517,0.0053054297366734,0.0010289873088034,0.0,0.0161424916950654,13,1.1966172352049125,,0.0226778257638216,13,both,36
avg_dependency_depth,0.0043909065048584,0.0079051563400682,0.0,0.0,0.0289883547882896,13,1.8003472247294154,,,13,both,37
hedge_E_count,0.0041166264390434,0.0061284341017096,0.0,0.0,0.0201189978294364,13,1.4887029932046931,,0.042588191106915446,13,both,38
hedge_N_count,0.0039843742709936,0.0044490142142495,0.000737364633877,0.0,0.0112710616480569,13,1.1166155365068284,,0.02659176755696535,13,both,39
certainty_adjectives_count,0.0039809100570727,0.0055916225749395,0.00082251319072,0.0,0.0196196855601851,13,1.404609120722322,,0.0254203714430332,13,both,40
E_ratio,0.0033146263726414,0.0051633757930303,0.0,0.0,0.0160882317875732,13,1.55775499635441,,0.02016273513436315,13,both,41
punctuation_usage,0.0031838589385054,0.0036089235708748,0.0,0.0,0.0098671746757603,13,1.1335061133609527,,0.0232389215379953,13,both,42
N_ratio,0.002987467061391,0.004068649846211,0.0,0.0,0.0130429161020861,13,1.361906177575234,,0.02468417771160595,13,both,43
doubt_verbs_count,0.0021371931829893,0.0052416155720778,0.0,0.0,0.0178023770159974,13,2.4525698536743428,,0.0183412861078977,13,both,44
