feature,mean_mi_score,std_mi_score,median_mi_score,min_mi_score,max_mi_score,num_iterations,cv_mi_score,median_lr_coef,median_xgb_coef,linear_occurrences,_merge,mi_rank
std_word_length,0.075881999634855,0.0308558905389278,0.080394985131746,0.026488022660718,0.1315398074146285,13,0.4066299081126843,,0.0197363011538982,13,both,1
noun_ratio,0.0487152806344759,0.030212918604296,0.0478582118345238,0.0023729996899746,0.1094329908954088,13,0.6201938736839432,,0.0299527309834957,13,both,2
avg_word_length,0.0482845815202051,0.0304192592726218,0.043997480235103,0.0073346527131248,0.0933881200689887,13,0.6299994390526632,,0.0301992651075124,13,both,3
sadness,0.0464216500711415,0.0230752998552457,0.0465321175368211,0.0107598286783916,0.090366480881985,13,0.4970805608995509,,0.0216171871870756,13,both,4
stopword_ratio,0.0450990802858487,0.0332109050023873,0.0370625084858891,0.0,0.1123664679107485,13,0.7363987201488083,,0.0220978558063507,13,both,5
sentiment_subjectivity,0.036947295631799,0.0230137925908933,0.0381966879875645,0.0,0.0702820833826949,13,0.6228816533756338,,0.0207813400775194,13,both,6
function_word_ratio,0.0331903088637199,0.0277697452686377,0.0247119320158257,0.0,0.100004219885232,13,0.8366823394943649,,0.025855716317892,13,both,7
readability_score,0.0326695044627743,0.0236950238797756,0.0360065115180499,0.0,0.0653635643825747,13,0.7252948665559111,,0.0212893392890691,13,both,8
type_token_ratio,0.0323550499248805,0.0163306658239548,0.0306707688630925,0.0,0.0612501894001684,13,0.5047331363070112,,0.0231378488242626,13,both,9
verb_ratio,0.03186855553195,0.0229396386773168,0.0291420118074756,0.0,0.0711889541102837,13,0.7198204717599631,,0.0255444906651973,13,both,10
surprise,0.0315595421870702,0.020005878665261,0.0303580654640085,0.0,0.0701515527243452,13,0.6339090265212214,,0.0262881517410278,13,both,11
subordinate_clause_ratio,0.0297424484077729,0.0175457492312193,0.0266899722841713,0.0,0.0677139741655952,13,0.5899228264823672,,0.0168852098286151,13,both,12
joy,0.029427036611286,0.0161108590308179,0.030386361982627,0.0046979518095144,0.0680480896598345,13,0.5474849283545924,,0.0275156274437904,13,both,13
hedge_C_count,0.0290420361095262,0.0232130872758699,0.0238484419692364,0.0,0.0641010495557699,13,0.7992926938154887,,0.0221872087568044,13,both,14
pronoun_ratio,0.0284471265780561,0.0198696098343524,0.0279564448665774,0.0,0.0624512513849455,13,0.6984751088948178,,0.018424728885293,13,both,15
