feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std,median_cohens_d,effect_size_category,meaningful_effect_count,large_effect_count,lr_coef_count,xgb_coef_count,num_significant,significance_rate,lr_sign,lr_sign_consistent,avg_abs_cohens_d
stopword_ratio,-0.6156941972802689,0.0238043051213026,0.2193 ± 0.0952,0.2479 ± 0.1104,-0.49,small,12,6,13,13,12,12/13,none,False,0.801
punctuation_density,-0.0581855097133621,0.0347226001322269,0.3739 ± 0.1292,0.3419 ± 0.1662,0.664,medium,13,7,13,13,13,13/13,none,False,0.779
function_word_ratio,-0.1989556693416274,0.0297622121870517,0.2719 ± 0.1065,0.3074 ± 0.1308,-0.413,small,12,6,13,13,12,12/13,none,False,0.76
pronoun_ratio,-0.6609786184815147,0.0409138649702072,0.0283 ± 0.0315,0.0297 ± 0.0373,-0.803,large,12,8,13,13,12,12/13,none,False,0.74
hedge_C_count,0.0515345383055199,0.0248996689915657,19.3522 ± 6.9205,20.1969 ± 9.1903,-0.623,medium,12,7,13,13,12,12/13,none,False,0.72
word_count,-0.8871833424633885,0.0239406172186136,25.3051 ± 8.4946,26.2383 ± 10.8774,-0.616,medium,12,5,13,13,12,12/13,none,False,0.695
sentence_count,-0.5121915945447019,0.0434134006500244,1.7766 ± 0.8745,1.8653 ± 1.0957,-0.702,medium,11,4,13,13,11,11/13,none,False,0.664
noun_ratio,-0.536916471609606,0.023523598909378,0.4211 ± 0.1182,0.4052 ± 0.1433,0.523,medium,13,3,13,13,13,13/13,none,False,0.657
sentence_length_variation,-0.0349166771086851,0.0183656085282564,2.1816 ± 2.6708,2.7655 ± 3.8857,-0.608,medium,12,0,13,11,12,12/13,none,False,0.538
certainty_verbs_count,-0.565447586186311,0.0423764251172542,0.3382 ± 0.4628,0.3212 ± 0.6538,-0.001,negligible,9,1,13,12,11,11/13,none,False,0.538
std_word_length,-0.0002815919783788,0.0212309714406728,3.6387 ± 0.7188,3.5676 ± 0.8992,0.414,small,12,1,13,13,12,12/13,none,False,0.524
avg_word_length,-0.0611512219614793,0.0240196082741022,4.7138 ± 0.7390,4.6443 ± 0.8124,0.289,small,13,0,13,13,13,13/13,none,False,0.51
fear,0.0755598776356696,0.0209574755281209,0.3252 ± 0.3252,0.3401 ± 0.3807,-0.223,small,12,1,13,13,11,11/13,none,False,0.429
joy,0.1615521606981352,0.0526642762124538,0.1951 ± 0.2206,0.1112 ± 0.1993,0.475,small,10,0,13,13,10,10/13,none,False,0.426
surprise,-0.1275207125182791,0.0312642864882946,0.1415 ± 0.1414,0.1437 ± 0.1934,0.296,small,12,0,13,13,12,12/13,none,False,0.419
sentiment_subjectivity,0.032172526451589,0.0156807377934455,0.2737 ± 0.2969,0.3226 ± 0.2965,-0.393,small,12,0,13,13,12,12/13,none,False,0.387
type_token_ratio,0.2311794535662553,0.0221284832805395,0.8914 ± 0.0807,0.9025 ± 0.0757,0.131,negligible,10,2,13,13,9,9/13,none,False,0.376
certainty_adjectives_count,0.0966257273343359,0.0384919419884681,0.3168 ± 0.5729,0.2746 ± 0.5023,-0.295,small,11,0,13,3,11,11/13,none,False,0.372
verb_ratio,0.135679268818188,0.0157387983053922,0.1093 ± 0.0611,0.1160 ± 0.0737,-0.341,small,10,0,13,13,10,10/13,none,False,0.365
certainty_adverbs_count,-0.3892520009235437,0.028904472477734047,0.1397 ± 0.2878,0.1347 ± 0.3715,0.004,negligible,8,0,13,4,11,11/13,none,False,0.365
doubt_adverbs_count,-0.4416943870392558,0.0268586874008178,0.2044 ± 0.4242,0.3679 ± 0.6804,-0.39,small,8,0,13,12,8,8/13,negative,True,0.354
adv_ratio,-0.1562148111249681,0.0188314830884337,0.0227 ± 0.0321,0.0292 ± 0.0365,-0.279,small,10,0,13,12,10,10/13,none,False,0.353
anger,-0.5703815888610022,0.0235376693308353,0.0851 ± 0.1400,0.1271 ± 0.2332,-0.414,small,9,0,13,13,9,9/13,none,False,0.33
hapax_legomena,-0.3876259609030807,0.0163455493748188,0.8126 ± 0.1316,0.8263 ± 0.1275,0.087,negligible,9,1,13,13,7,7/13,none,False,0.33
subordinate_clause_ratio,-0.0468164451290871,0.0156197166070342,0.0375 ± 0.0426,0.0434 ± 0.0480,-0.155,negligible,8,0,13,13,8,8/13,none,False,0.289
readability_score,-0.0349584632524756,0.0157699938863515,9.7887 ± 3.9288,9.5627 ± 3.9900,0.136,negligible,7,0,13,13,7,7/13,none,False,0.232
adj_ratio,-0.3032377617491913,0.0178121477365493,0.0531 ± 0.0465,0.0607 ± 0.0478,-0.21,small,8,0,13,13,6,6/13,none,False,0.227
disgust,-0.3358082945237178,0.0291502978652715,0.0040 ± 0.0174,0.0182 ± 0.0980,-0.224,small,10,0,13,13,0,0/13,negative,True,0.201
